title,author,description,genres,pages,rating
Asimov's Guide to the Bible: The Old and New Testaments,Isaac Asimov,"In ""Asimov's Guide to the Bible"" the noted author Isaac Asimov explores the historical, geographical, and biographical aspects of the events described in the Old and New Testaments. In doing so Asimov illuminates the Bible's many obscure and mysterious passages, producing a valuable text for anyone interested in religion and history.","{'Philosophy', 'History', 'Spirituality', 'Nonfiction', 'Christianity', 'Religion', 'Reference'}","1295 pages, Hardcover",4.19
Dakota: A Spiritual Geography,Kathleen Norris,"A beautiful meditation on life in the Great Plains from award-winning author and poet Kathleen Norris.Kathleen Norris invites readers to experience rich moments of prayer and presence in Dakota, a timeless tribute to a place in the American landscape that is at once desolate and sublime, harsh and forgiving, steeped in history and myth. In thoughtful, discerning prose, she explores how we come to inhabit the world we see, and how that world also inhabits us. Her voice is a steady assurance that we can, and do, chart our spiritual geography wherever we go.","{'Travel', 'Spirituality', 'Nonfiction', 'Religion', 'Essays', 'Christianity', 'Memoir'}","256 pages, Paperback",3.99
Unshaken: Ruth,Francine Rivers,"Book 3 in the 5-book biblical historical fiction series by the New York Times bestselling author of Redeeming Love and A Voice in the Wind.She gave up everything, expecting nothing, and God honored her.Meet Ruth , one of the five women in the lineage of Christ. Her loyalty―especially toward her mother-in-law Naomi―helped her to persevere in the face of tragedy, and God gave her a second chance at love. Readers will be encouraged by the truth that God will faithfully provide for His children even when all hope seems lost.Unshaken is book three in the popular Lineage of Grace series about five unlikely women who changed eternity.“Francine Rivers spins a tale that’s not only true to history, but satisfying to the heart.”― Romantic TimesThis novella includes an in-depth Bible study perfect for personal reflection or group discussion.","{'Fiction', 'Faith', 'Historical', 'Christian Fiction', 'Historical Fiction', 'Biblical Fiction', 'Christian'}","185 pages, Hardcover",4.26
Stealing Jesus: How Fundamentalism Betrays Christianity,Bruce Bawer,"In 300-odd pages, Bruce Bawer has opened a floodgate of incisive religious criticism that will reverberate across the American political scene. He has put into eloquent and decisive language what many mainline Christians and non-Christians have quietly suspected but been unable to verbalize--namely that Fundamentalist Christianity is barely Christian at all. A Baptist theologian says he is ""not interested in who Jesus was."" Pat Robertson argues the Golden Rule as Jesus's justification that ""individual self-interest is being a very real part of the human makeup, and something not necessarily bad or sinful."" In page after page, Bawer reveals a so-called Fundamentalist movement that readily displays a blatant disregard for the most salient message of the Gospels: selfless love and service to all. As for the significance of this revelation in the face of the ballooning presence of Fundamentalist Christians in American politics, readers will have to decide for themselves.","{'Fundamentalism', 'Theology', 'History', 'Spirituality', 'Nonfiction', 'Christianity', 'Religion'}","340 pages, Paperback",3.86
Habits of the Household: Practicing the Story of God in Everyday Family Rhythms,Justin Whitmel Earley,"Discover simple habits and easy-to-implement daily rhythms that will help you find meaning beyond the chaos of family life as you create a home where kids and parents alike practice how to love God and each other.You long for tender moments with your children--but do you ever find yourself too busy to stop, make eye contact, and say something you really mean? Daily habits are powerful ways to shape the heart--but do you find yourself giving in to screen time just to get through the day? You want to parent with purpose--but do you know how to start?Award-winning author and father of four Justin Whitmel Earley understands the tension between how you long to parent and what your daily life actually looks like. In Habits of the Household, Earley gives you the tools you need to create structure--from mealtimes to bedtimes--that free you to parent toddlers, kids, and teens with purpose. Learn how to:Develop a bedtime liturgy to settle your little ones and ground them in God's loveDiscover a new framework for discipline as discipleshipAcquire simple practices for more regular and meaningful family mealtimesOpen your eyes to the spirituality of parenting, seeing small moments as big opportunities for spiritual formationDevelop a custom age chart for your family to more intentionally plan your shared years under the same roofEach chapter in Habits of the Household ends with practical patterns, prayers, or liturgies that your family can put into practice right away. As you create liberating rhythms around your everyday routines, you will find your family has a greater sense of peace and purpose as your home becomes a place where, above all, you learn how to love.","{'Faith', 'Family', 'Nonfiction', 'Christian Living', 'Christianity', 'Christian', 'Parenting'}","240 pages, Paperback",4.63
Talking Back to Purity Culture: Rediscovering Faithful Christian Sexuality,Rachel Joy Welcher,"It's time to talk back. The generation born into evangelical purity culture has grown up, and many have started families of their own. But as time goes on, it's becoming more evident that many still struggle with purity culture's complicated legacy--its idolization of virginity, its mixed messages about modesty and lust, and its promise of a healthy marriage and great sex for those who follow the rules. In Talking Back to Purity Culture, Rachel Joy Welcher reviews the movement carefully, examining its teachings through the lens of Scripture. Compassionate, faithful, and wise, she charts a path forward for evangelicals in the ongoing debates about sexuality--one that rejects legalism and license alike, steering us back instead to the good news of Jesus. It's time to talk back to purity culture--and this book is ready to jump-start the conversation.","{'Theology', 'Faith', 'Sexuality', 'Nonfiction', 'Christian Living', 'Christianity', 'Christian'}","216 pages, Paperback",4.36
On Acquisition of the Holy Spirit,Seraphim of Sarov,"Saint Seraphim of Sarov ( Серафим Саровский) (19 July 1759 - 2 January (N.S. 14 January), 1833), born Prokhor Moshnin (Прохор Мошнин), is one of the most renowned Russian monks and mystics in the Orthodox Church. He is generally considered the greatest of the 19th century startsy (elders) and, arguably, the first. He is remembered for extending the monastic teachings of contemplation, theoria and self-denial to the layperson, and taught that the purpose of the Christian life was to acquire the Holy Spirit.","{'Philosophy', 'Theology', 'Spirituality', 'Nonfiction', 'Christianity', 'Religion', 'Faith'}","60 pages, Kindle Edition",4.44
Something Needs to Change: A Call to Make Your Life Count in a World of Urgent Need,David     Platt,"While leading a team on a week-long trek of the Himalayas, bestselling author and pastor David Platt was stunned by the human needs he encountered, an experience so dramatic that it ""changed the trajectory of my life."" Meeting a man who'd lost his eye from a simple infection and seeing the faces of girls stolen from their families and trafficked in the cities, along with other unforgettable encounters, opened his eyes to the people behind the statistics and compelled him to wrestle with his assumptions about faith. In Something Needs to Change, Platt invites readers to come along on both the adventure of the trek, as well as the adventure of seeking answers to tough questions like, ""Where is God in the middle of suffering?"" ""What makes my religion any better than someone else's religion?"" and ""What do I believe about eternal suffering?"" Platt has crafted an irresistible message about what it means to give your life for the gospel--to finally stop talking about faith and truly start living it.","{'Theology', 'Christian', 'Nonfiction', 'Christian Living', 'Christianity', 'Religion', 'Faith'}","224 pages, Hardcover",4.52
The Cross Centered Life: Keeping the Gospel The Main Thing,C.J. Mahaney,"Remember Jesus Christ? Although it seems almost too obvious, the center of our faith is surprisingly easy to forget. Dynamic pastor C.J. Mahaney shows how to overcome our tendency to move on from the gospel of grace. Finding joy in the gospel -- whose promises allow us to escape condemnation whenever it attacks -- helps us avoid the prevalent trap of legalism. With practical suggestions, Mahaney demonstrates the difference between knowing the gospel... and making it the main thing in daily decisions and daily living.What Are You Centered On?Sometimes the most important truths are the easiest to forget. It’s time to get back to the starting point of the Christian life—the cross of Christ. Jesus’ work on your behalf must be the central motivation for your life and faith—the main thing.“Never move on,” says C.J. Mahaney, who shows you how to center every day around the cross of Calvary and how to escape the pitfalls of legalism, condemnation, and feelings-driven faith.Tap into the gospel’s power and see how a cross centered focus can transform your life today!","{'Theology', 'Faith', 'Spirituality', 'Nonfiction', 'Christian Living', 'Christianity', 'Christian'}","89 pages, Hardcover",4.36
The Very Worst Missionary: A Memoir or Whatever,Jamie   Wright,"Wildly popular blogger ""Jamie the Very Worst Missionary"" delivers a searing, offbeat, often hilarious memoir of spiritual disintegration and re-formation.As a quirky Jewish kid and promiscuous punkass teen, Jamie Wright never imagines becoming a Christian, let alone a Christian missionary. She is barely an adult when the trials of motherhood and marriage put her on an unexpected collision course with Jesus. After finding her faith at a suburban megachurch, Jamie trades in the easy life on the cul-de-sac for the green fields of Costa Rica. There, along with her family, she earnestly hopes to serve God and change lives. But faced with a yawning culture gap and persistent shortcomings in herself and her fellow workers, she soon loses confidence in the missionary enterprise and falls into a funk of cynicism and despair.Nearly paralyzed by depression, yet still wanting to make a difference, she decides to tell the whole, disenchanted truth: Missionaries suck and our work makes no sense at all! From her sofa in Central America, she launches a renegade blog, Jamie the Very Worst Missionary, and against all odds wins a large and passionate following. Which leads her to see that maybe a ""bad"" missionary--awkward, doubtful, and vocal—is exactly what the world and the throngs of American do-gooders need.","{'Biography', 'Christian', 'Nonfiction', 'Religion', 'Christianity', 'Memoir', 'Faith'}","230 pages, Kindle Edition",4.08
Living the Cross Centered Life: Keeping the Gospel the Main Thing,C.J. Mahaney,"What Really Matters Have the extremities taken over and left the core of your faith forgotten? Do you get confused by what you feel versus what is real? Let dynamic pastor C. J. Mahaney strip away the nonessentials and bring you back to the simplest, most fundamental reason for your faith: Jesus Christ. Chapters include ""Breaking the Rules of Legalism,"" ""The Cross Centered Day,"" and ""Assurance and Joy."" His Gift, Your Hope Do you desire more passion for Jesus Christ? Return to the very essence of your faith--the cross of Christ. Here, the deepest truths of Calvary will stir your passion for Him into an unquenchable fire.","{'Theology', 'Faith', 'Christian Non Fiction', 'Nonfiction', 'Christian Living', 'Christianity', 'Christian'}","166 pages, Hardcover",4.16
Loveology: God. Love. Marriage. Sex. And the never-ending story of male and female.,John Mark Comer,"In the beginning, God created Adam. Then he made Eve. And ever since we've been picking up the pieces. Loveology is just that—a theology of love. With an autobiographical thread that turns a book into a story, pastor and speaker John Mark Comer shares about what is right in male/female relationships—what God intended in the Garden. And about what is wrong—the fallout in a post-Eden world. Loveology starts with marriage and works backward. Comer deals with sexuality, romance, singleness, and what it means to be male and female; ending with a raw, uncut, anything goes Q and A dealing with the most asked questions about sexuality and relationships. This is an audiobook for singles, engaged couples, and the newly married—both inside and outside the church—who want to learn what the Scriptures have to say about sexuality and relationships. For those who are tired of Hollywood's propaganda, and the church's silence. And for people who want to ask the why questions and get intelligent, nuanced, grace-and-truth answers, rooted in the Scriptures.","{'Theology', 'Christianity', 'Relationships', 'Christian', 'Nonfiction', 'Marriage', 'Faith'}","5 pages, Audio CD",4.29
"On God and Christ, The Five Theological Orations and Two Letters to Cledonius: St. Gregory of Nazianzus",Gregory of Nazianzus,"Gregory of Nazianzus, ""The Theologian,"" was recognized among the Cappadocian Fathers as a peculiarly vivid and quotable exponent of the doctrine of God in Trinity. A brilliant orator and accomplished poet, he placed before the Church his interpretation of the sublime mystery of the God revealed as Father, Son, and Holy Spirit. These five sermons, probably delivered as a series at the small chapel of the Resurrection in Constantinople, where Gregory was the bishop in charge of loyal ""Nicenes,"" contain Gregory's profound teaching. The English translation aims to capture for the present-day reader something of the atmosphere of intellectual excitement and spiritual exhilaration experienced by his first listeners. In addition, this work contains a new translation of Gregory's letters to Cledonius, which contain more focused reflections on the person of Jesus Christ, laying the groundwork for later Christology.","{'Religion', 'Christianity', 'Theology', 'Church History', 'Christian', 'Classics', 'Nonfiction'}","175 pages, Paperback",4.36
Can I Have Joy In My Life?,R.C. Sproul,"Joy is a popular topic in Western culture today. Books explain how to find joy in a wide variety of activities. We speak of “joyous” occasions such as weddings and births. We sing about “Joy to the World” at Christmas. “Joy” remains a popular name for girls. But given the extent to which joy seems to be on our minds, few people seem to have it or even know what it is.In this Crucial Questions booklet, Dr. R.C. Sproul cuts through the confusion surrounding this popular but misunderstood attribute, showing the one sure path to deep, lasting joy—a relationship with God through Jesus Christ. By abiding in Christ, Dr. Sproul shows, we may experience fullness of joy—a joy that transcends unhappy circumstances and even permits us to rejoice with others because of the blessed hope Christ provides.","{'Religion', 'Theology', 'Christian Living', 'Christianity', 'Christian Non Fiction', 'Christian', 'Nonfiction'}","66 pages, Kindle Edition",4.40
"Through the Eye of a Needle: Wealth, the Fall of Rome, and the Making of Christianity in the West, 350-550 AD",Peter Brown,"A sweeping intellectual history of the role of wealth in the church in the last days of the Roman EmpireJesus taught his followers that it is easier for a camel to go through the eye of a needle than for a rich man to enter heaven. Yet by the fall of Rome, the church was becoming rich beyond measure. Through the Eye of a Needle is a sweeping intellectual and social history of the vexing problem of wealth in Christianity in the waning days of the Roman Empire, written by the world's foremost scholar of late antiquity.Peter Brown examines the rise of the church through the lens of money and the challenges it posed to an institution that espoused the virtue of poverty and called avarice the root of all evil. Drawing on the writings of major Christian thinkers such as Augustine, Ambrose, and Jerome, Brown examines the controversies and changing attitudes toward money caused by the influx of new wealth into church coffers, and describes the spectacular acts of divestment by rich donors and their growing influence in an empire beset with crisis. He shows how the use of wealth for the care of the poor competed with older forms of philanthropy deeply rooted in the Roman world, and sheds light on the ordinary people who gave away their money in hopes of treasure in heaven.Through the Eye of a Needle challenges the widely held notion that Christianity's growing wealth sapped Rome of its ability to resist the barbarian invasions, and offers a fresh perspective on the social history of the church in late antiquity.","{'Economics', 'Ancient History', 'Religion', 'Christianity', 'Church History', 'Nonfiction', 'History'}","792 pages, Hardcover",4.28
Glorious Ruin: How Suffering Sets You Free,Tullian Tchividjian,"In this world, one thing is Everybody hurts. Suffering may take the form of tragedy, heartbreak, or addiction. Or it could be something more mundane (but no less real) like resentment, loneliness, or disappointment. But there’s unfortunately no such thing as a painless life. In  Glorious Ruin , best-selling author Tullian Tchividjian takes an honest and refreshing look at the reality of suffering, the ways we tie ourselves in knots trying to deal with it, and the comfort of the gospel for those who can’t seem to fix themselves—or others.  This is not so much a book about  Why  God allows suffering or even  How  we should approach suffering—it is a book about the tremendously liberating and gloriously counterintuitive truth of a God who suffers with you and for you. It is a book, in other words, about the kind of hope that takes the shape of a cross.","{'Religion', 'Theology', 'Christian Living', 'Christianity', 'Christian', 'Nonfiction', 'Faith'}","208 pages, Hardcover",4.15
The Barbarian Conversion: From Paganism to Christianity,Richard Fletcher,"In a work of splendid scholarship that reflects both a firm mastery of difficult sources and a keen intuition, one of Britain's foremost medievalists tells the story of the Christianization of Europe. It is a very large story, for conversion encompassed much more than religious belief. With it came enormous cultural change: Latin literacy and books, Roman notions of law and property, and the concept of town life, as well as new tastes in food, drink, and dress. Whether from faith or by force, from self-interest or by revelation, conversion had an immense impact that is with us even today. It is Richard Fletcher's achievement in this superb work that he makes that impact both felt and understood.","{'Religion', 'Medieval', 'Christianity', 'Medieval History', 'European History', 'Nonfiction', 'History'}","575 pages, Paperback",3.85
Because He Loves Me: How Christ Transforms Our Daily Life,Elyse M. Fitzpatrick,"God's love has the power to change lives. Christians, then, should exhibit the greatest transformation of all because, rightly understood and cherished, God's love makes them increasingly more like the One who has lavished his love on them.So why do we so often struggle to exhibit God's love? Biblical counselor Elyse M. Fitzpatrick asks one simple question: ""In your pursuit of godliness, have you left Jesus behind?"" We need to be rescued from our ""identity amnesia"" and pointed to our true identity as God's beloved children--adopted by the Father, united with the Son, and empowered by the Holy Spirit.Fitzpatrick shows how a genuine transformation of identity leads to a transformation of our daily lives. Those who struggle with either legalism or lawlessness will find encouragement to return to God's love, the source of authentic and lasting change. Study questions and invitations to further discovery conclude each chapter. Now available in paperback.","{'Theology', 'Christian Living', 'Christianity', 'Counselling', 'Christian', 'Nonfiction', 'Faith'}","224 pages, Hardcover",4.37
Gospel: Recovering the Power that Made Christianity Revolutionary,J.D. Greear,"Could the gospel be lost in evangelical churches? In this book, J.D. Greear shows how moralism and legalism have often eclipsed the gospel, even in conservative churches. Gospel cuts through the superficiality of religion and reacquaints you with the revolutionary truth of God's gracious acceptance of us in Christ. The gospel is the power of God, and the only true source of joy, freedom, radical generosity, and audacious faith. The gospel produces in us what religion never a heart that desires God.The book’s core is a “gospel prayer” by which you can saturate yourself in the gospel daily. Dwelling on the gospel will release in you new depths of passion for God and take you to new heights of obedience to Him. Gospel gives you an applicable, exciting vision of how God will use you to bring His healing to the world.","{'Religion', 'Theology', 'Christian Living', 'Christianity', 'Christian', 'Nonfiction', 'Faith'}","266 pages, Paperback",4.37
The Last Superstition: A Refutation of the New Atheism,Edward Feser,"Argues that ""new atheism"" is based on an unfounded ""mechanical"" view of the world and the ""teleological"" vision of the ancient philosophers is rationally vindicated.","{'Atheism', 'Religion', 'Christianity', 'Theology', 'Nonfiction', 'Catholic', 'Philosophy'}","312 pages, Hardcover",4.26
Ten Girls Who Made a Difference,Irene Howat,"Would you like to make a difference? These ten girls grew up to do just that…Katherine Luther, Bethan Lloyd–Jones, Sabina Wurmbrand, Susanna Wesley, Ann Judson, Edith Schaeffer, Ruth Bell Graham, Monica of Thagaste, Susannah Spurgeon, Maria Taylor. Read this book and find out what God wants you to do.","{'Christianity', 'Childrens', 'Christian', 'Nonfiction', 'History', 'Biography'}","160 pages, Paperback",4.10
Absolute Monarchs: A History of the Papacy,John Julius Norwich,"In a chronicle that captures nearly two thousand years of inspiration and intrigue, John Julius Norwich recounts in riveting detail the histories of the most significant popes and what they meant politically, culturally, and socially to Rome and to the world. Norwich presents such popes as Innocent I, who in the fifth century successfully negotiated with Alaric the Goth, an invader civil authorities could not defeat; Leo I, who two decades later tamed (and perhaps paid off) Attila the Hun; the infamous “pornocracy”—the five libertines who were descendants or lovers of Marozia, debauched daughter of one of Rome’s most powerful families; Pope Paul III, “the greatest pontiff of the sixteenth century,” who reinterpreted the Church’s teaching and discipline; John XXIII, who in five short years starting in 1958 instituted reforms that led to Vatican II; and Benedict XVI, who is coping with today’s global priest sex scandal.","{'Religion', 'Historical', 'European History', 'Italy', 'Nonfiction', 'History', 'Biography'}","528 pages, Hardcover",3.72
Signs of Life: 40 Catholic Customs and Their Biblical Roots,Scott Hahn,"
Scott Hahn, the bestselling author of The Lamb's Supper and Reasons to Believe, celebrates the touchstones of the Catholic life, guiding readers to a deeper faith through the Church's rites, customs, and traditional prayers. 


Signs of Life is beloved author Scott Hahn's clear and comprehensive guide to the Biblical doctrines and historical traditions that underlie Catholic beliefs and practices. Devoting single chapters to each topic, the author takes the reader on a journey that illuminates the roots and significance of all things Catholic, including: the Sign of the Cross, the Mass, the Sacraments, praying with the saints, guardian angels, sacred images and relics, the celebration of Easter, Christmas, and other holidays, daily prayers, and much more.In the appealing conversational tone that has won him millions of devoted readers, Hahn presents the basic tenets of Church teachings, clears up common misconceptions about specific rituals and traditions, and responds thoughtfully to the objections raised about them. Each chapter concludes with loving, good-natured, inspiring advice on applying the Church's wisdom to everyday life.","{'Religion', 'Theology', 'Christianity', 'Christian', 'Nonfiction', 'Catholic', 'Faith'}","288 pages, Hardcover",4.25
When Heaven Invades Earth: A Practical Guide to a Life of Miracles,Bill Johnson,"This book is a faith builder. It challenges every believer to walk in supernatural signs and wonders as a natural part of everyday life. ---John ArnottAnyone can walk in the miraculous---even you! If you've ever wanted to live and walk in the supernatural power of God, here's your chance!It is truly possible for human people to walk in the divine, and Christ came to show us the way. It is by rediscovering our true identity in Him that we can begin to move into the promises of God regarding the miraculous. Bill Johnson not only teaches the supernatural, he imparts it by changing the way we think.If you are not walking in the miraculous, you're living far below your birthright! By laying a carefully constructed biblical foundation for walking in the supernatural power of God, When Heaven Invades Earth provides all the equipment you need to experience miracles every day.","{'Spirituality', 'Theology', 'Christianity', 'Christian Living', 'Christian', 'Nonfiction', 'Faith'}","192 pages, Paperback",4.40
Come Thirsty: No Heart Too Dry for His Touch,Max Lucado,"What image best describes your heart? A water-drenched kid in front of an open fire hydrant? Or a bristled, desert tumbleweed? You're acquainted with physical thirst. Stop drinking and see what happens. Coherent thoughts vanish, skin grows clammy, and vital organs shut down. Deprive your body of necessary fluid, and it will tell you. Deprive your sould of spiritual water, and it will tell you. Dehydrated hearts send desperate messages. Snarling tempers. Waves of worry. Growing guilt and fear. Hopelessness. Resentment. Loneliness. Insecurity. But you don't have to live with a dehydrated heart. God invites you to tread your thirsty soul as you would treat your physical thirst. Just visit the WELL and drink Recieve Christ's work on the cross, the energy of his Spirit, His lordship over your life, and his unending, unfailing love . Come thirsty and drink the water of life.","{'Spirituality', 'Religion', 'Christianity', 'Christian Living', 'Christian', 'Nonfiction', 'Inspirational'}","215 pages, Paperback",4.23
Concise Theology,J.I. Packer,"Theology matters! At last it can be understood easily, thanks to this “layman's language” approach to biblical belief. Authored by J. I. Packer, one of the premier theologians of Christianity, this summary of Christian teaching covers nearly 100 major Christian beliefs from a Reformed perspective. Brief, easy-to-understand chapters offer precise descriptions without sacrificing depth. Thoughtfully arranged and refreshingly readable, this is a book that belongs on the shelf of every Christian.","{'Religion', 'Christianity', 'Theology', 'Christian', 'Reference', 'Nonfiction', 'Faith'}","288 pages, Paperback",4.32
Before You Meet Prince Charming: A Guide to Radiant Purity,Sarah Mally,"Companion Book: Before You Meet Prince Charming: A Guide to Radiant Purity, Study GuideA young lady who is pure will shine with a radiant brightness in this world of darkness. How can a young lady stay physically and emotionally pure as she waits for God s best in marriage? This guide to radiant purity combines the thoughts and events in the life of a young princess with solid, clear teaching of Biblical convictions that young ladies today need to grasp. Through a captivating fairy tale, modern day examples, practical instruction and abundant humor, Sarah Mally challenges young ladies to turn to the Lord for fulfillment, to guard their hearts and minds, to identify and avoid the world s thinking and to shine brightly in this generation. This book offers Biblical answers to everyday questions and deep life struggles. It deals with many practical topics such as being wise in internet usage, dealing with crush, and building strong relationships with parents. Sarah Mally is a bright light in our day. Nancy Leigh DeMoss, Author, Host of Revive Our Hearts Radio ""Before You Meet Prince Charming is a must read for every girl! Each of us sisters have been greatly encouraged through Sarah's challenging and easy to understand book."" -Jana, Jill, Jessa, Jinger & Joy Duggar Sarah Mally is like a loving big sis to a generation of girls whose perceptions of love and romance have been seriously distorted by a culture intent on breaking their hearts. Before You Meet Prince Charming answers the big questions in a friendly, honest, and light-hearted fashion. We are adding it to our courtship reading list with pleasure. Dr. Jeff and Danielle Myers, President of Summit Ministries A sweet and delightfully humorous story . . . Creatively accomplished and very helpful. Gregg Harris""","{'Christianity', 'Christian Living', 'Christian Non Fiction', 'Christian', 'Nonfiction', 'Self Help', 'Parenting'}","272 pages, Paperback",3.98
The Return of the King,J.R.R. Tolkien,"Begin your journey into Middle-earth.The inspiration for the upcoming original series on Prime Video, The Lord of the Rings: The Rings of Power.The Return of the King is the third part of J.R.R. Tolkien’s epic adventure The Lord of the Rings.One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them.The Dark Lord has risen, and as he unleashes hordes of Orcs to conquer all Middle-earth, Frodo and Sam struggle deep into his realm in Mordor.To defeat Sauron, the One Ring must be destroyed in the fires of Mount Doom. But the way is impossibly hard, and Frodo is weakening. The Ring corrupts all who bear it and Frodo’s time is running out.Will Sam and Frodo succeed, or will the Dark Lord rule Middle-earth once more?","{'Science Fiction Fantasy', 'Fiction', 'Fantasy', 'High Fantasy', 'Classics', 'Adventure', 'Epic Fantasy'}","432 pages, Kindle Edition",4.56
WHY MEN HATE GOING TO CHURCH,David Murrow,"It's Sunday morning. Where are all the men? Golfing? Playing softball? Watching the tube? Mowing the lawn? Sleeping? One place you won't find them is in church. Less than 40 percent of adults in most churches are men, and 20 to 25 percent of married churchgoing women attend without their husbands. And why are the men who do go to church so bored? Why won't they let God change their hearts? David Murrow's groundbreaking new book reveals why men are the world's largest unreached people group. With eye-opening research and a persuasive grasp on the facts, Murrow explains the problem and offers hope and encouragement to women, pastors, and men. Why Men Hate Going to Church does not call men back to the church-it calls the church back to men.","{'Religion', 'Christianity', 'Christian Living', 'Theology', 'Church', 'Christian', 'Nonfiction'}","256 pages, Paperback",3.89
Man & Woman He Created Them: A Theology of the Body,Pope John Paul II,"Internationally renowned Biblical scholar Michael Waldstein offers a new critical translation of Pope John Paul II's talks on the Theology of the Body, presenting his magnificent vision of the human person with meticulous scholarship and profound insight. A Preface by Cardinal Schönborn, a Foreword by Christopher West, a comprehensive index of words and phrases, a Scriptural index, and a reference table for other versions of the papal texts are included. Recipient of a CPA Award!","{'Religion', 'Theology', 'Christian', 'Nonfiction', 'Catholic', 'Faith', 'Philosophy'}","768 pages, Paperback",4.58
Transforming Grace: Living Confidently in God's Unfailing Love,Jerry Bridges,This book helps us accept and understand God's grace so we can live with the freedom of not having to measure up.,"{'Religion', 'Christianity', 'Theology', 'Christian Living', 'Christian', 'Nonfiction', 'Faith'}","207 pages, Paperback",4.37
So You Don't Want to Go to Church Anymore,Wayne Jacobsen,"Jake Colsen, an overworked and disillusioned pastor, happens into a stranger who bears an uncanny resemblance (in manner) to the apostle John. A number of encounters with John as well as a family crisis lead Jake to a new understanding of what his life should be one filled with faith bolstered by a steady, close relationship with the God of the universe. Facing his own disappointment with Christianity, Jake must forsake the habits that have made his faith rote and rediscover the love that captured his heart when he first believed.Compelling and intensely personal, So You Don't Want to Go to Church Anything relates a man's rebirth from performance-based Christianity to a loving friendship with Christ that affects all he does, thinks, and says. As John tells Jake, ""There is nothing the Father desires for you more than that you fall squarely in the lap of his love and never move from that place for the rest of your life.""","{'Spirituality', 'Religion', 'Christianity', 'Christian Fiction', 'Christian', 'Fiction', 'Faith'}","192 pages, Paperback",4.05
Jack: A Life of C. S. Lewis,George Sayer,"As I walked away from New Buildings, I found the man that Lewis had called ""Tollers"" sitting on one of the stone steps in front of the arcade. ""How did you get on?"" he asked. ""I think rather well. I think he will be a most interesting tutor to have."" ""Interesting? Yes, he's certainly that,"" said the man, who I later learned was J. R. R. Tolkien. ""You'll never get to the bottom of him."" Over the next twenty-nine years, author George Sayer's first impression about C. S. Lewis proved true. He was interesting; but he was more than just that. He was a devout Christian, gifted literary scholar, best-selling author, and brilliant apologist. Sayer draws from a variety of sources, including his close friendship with Lewis and the million-word diary of Lewis's brother, to paint a portrait of the man whose friends knew him as Jack. Offering glimpses into Lewis's extraordinary relationships and experiences, Jack details the great scholar's life at the Kilns; days at Magdalen College; meetings with the Inklings; marriage to Joy Davidman Gresham; and the creative process that produced such world-famous works as the classic Chronicles of Narnia, Mere Christianity , and The Screwtape Letters . This book is an intimate account of the man who helped―and through his works, continues to help―generations hear and understand the heart of Christianity.","{'Religion', 'Christianity', 'Christian', 'Nonfiction', 'Biography Memoir', 'Biography', 'History'}","464 pages, Paperback",4.10
Becoming Orthodox: A Journey to the Ancient Christian Faith,Peter E. Gillquist,"This is the story of a handful of courageous men and their congregations who risked stable occupations, security and the approval of life-long friends to be obedient to God's call.It is also the story of every believer who is searching for the Church. Where Christ is Lord. Where holiness, human responsibility, and the sovereignty of God are preached. Where fellowship is more than a covered-dish supper in the church basement. And where fads and fashions take a backseat to apostolic worship and doctrine.This is a book, for Orthodox Christians, looking for ways to bring new life to their own Churches. It's also a book for those completely dissatisfied--those on their own search. And it's a book for Orthodox Christians, looking for renewal.","{'Memoir', 'Spirituality', 'Religion', 'Theology', 'Christianity', 'Christian', 'Nonfiction'}","191 pages, Paperback",4.04
The Apostolic Fathers: Greek Texts and English Translations,Michael W. Holmes,"Following the publication of his revised translations in The Apostolic Fathers in English , 3rd ed., Michael Holmes, a leading expert on these texts, offers a thoroughly revised and redesigned bilingual edition, featuring Greek (or Latin) and English on facing pages. Introductions and bibliographies are generous and up to date. In the textual apparatus, existing notes have been revised and expanded, and well over 200 new notes have been added. This handsome and handy one-volume, thin-paper edition will be an essential resource for students and scholars and a joy to book lovers.","{'Religion', 'Christianity', 'Church History', 'Theology', 'Christian', 'Reference', 'History'}","832 pages, Hardcover",4.32
