title,popular_rank,orign_country,summary,rating
Dummie de Mummie,"5,070",Netherlands,"Shy eleven year old Gus' life is changed irrevocably when he finds an Egyptian mummy in his bed. An actual mummy of an actual young Egyptian prince brought to life by a lightning bolt that struck his enchanted golden scarab, just as he was being transported to a nearby museum. Darwishi Uratum Msamaki Minkab Ishaq Eboni, or DUMMIE for short, is almost the exact opposite of Gus. An unrestrained daredevil who knows no fear or pain and is up for anything. An unlikely friendship is born.",6.0
The Break with Michelle Wolf,"5,071",United States,Comedian Michelle Wolf riffs on the latest topics and trends of the day.,5.3
"Ayotzinapa, El paso de la Tortuga","5,072",Mexico,"A documentary about 43 Mexican students forcibly disappeared after being violently detained by police, and the unsatisfactory slow investigation that followed both at state and federal levels.",7.5
Silenced,"5,073",United States,"Three National Security whistleblowers fight to reveal the darkest corners of America's war on terror, challenging a government that is increasingly determined to maintain secrecy.",7.7
Dayveon,"5,074",United States,"In the wake of his older brother's death, 13-year-old Dayveon spends the sweltering summer days roaming his rural Arkansas town. When he falls in with a local gang, he becomes drawn to the camaraderie and violence of their world.",6.3
The Unknown: Legend of Exorcist Zhong Kui,"5,075",China,-,
Last Sons of America,"5,076",-,-,
El sendero de la anaconda,"5,077",Colombia,-,6.8
Judd Apatow: The Return,"5,078",United States,"Judd Apatow returns to stand-up comedy after 25 years, riffing on living with three women, amusing moments from his career and much more.",6.2
La guerra contra las mujeres,"5,079",United States,"Three years filming in ten different countries have been required to make WAR AGAINST WOMEN, the most ambitious documentary ever filmed about the use of rape as a weapon of war. A quieted and ignored topic up to date, which makes victims impossible to be fixed and let criminals unpunished. —Anonymous",7.0
Russell Brand from Addiction to Recovery,"5,080",United Kingdom,"After the death of his friend Amy Winehouse from an overdose, Russel Brand looks back on his own years of addiction and wants to show that not all addicts turn out the same way.",6.9
George Lopez: We'll Do It for Half,"5,082",United States,"Comedian George Lopez tackles the future and the past of Hispanic culture in America, touching on immigration, his tough relatives, aging and much more.",5.6
What the Love! with Karan Johar,"5,083",United States,"""Millenials"" looking for love join the show in hopes of being guided into new relationship opportunities by host Karan Johar.",4.4
Meridian,"5,084",United States,"In 1947 Los Angeles, the disappearance of four men, including his own detective, leads a police captain to a cavern where an eerie discovery awaits...",4.6
Watergate,"5,085",-,-,
Novatos,"5,086",Spain,"Hazing (Novatos) a feature film based on the director's true story. The story of Alex, a fresher who rejects hazing, and Carla, a fresher who doesn't care too much about it. Between them, two opposite ways of face hazing, will grow a loving relationship, who help them to overcome the problems. —Marta Cabrera",4.8
Know Your Enemy - Japan,"5,087",United States,A comprehensive look at the war in the Pacific during World War II. Shot as a propaganda film by acclaimed Hollywood director Frank Capra,6.0
La Grande Chaumière Violette,"5,088",Taiwan,"San Francisco, 1980. As 72-year-old Guo Xue Hu reminisces about his hometown, Dadaocheng, a young man walks towards him from afar. It is Xing Xiong, Yi An's son. He has brought a letter from Yi An, a letter addressed to him. He learns that Yi An had already passed away last year. Xue Hu tells Xing Xiong about the 1920s, when he met his father, Yi An. Through Xue Hu's words, Xing Xiong pictures his father as a young man and gets to know him better. The memories of Yi An and Ru Yue's tortuous love and all the scenes of joy and sorrow during those turbulent times keep coming back to Xue Hu-that era, those people. The things that happened are things he will never forget.",7.9
Jeff Dunham: Minding the Monsters,"5,089",United States,"Jeff Dunham's Minding the Monsters brings together your favorites-- Walter, Peanut, Bubba J, Jose Jalapeno... On a Steek!, and Achmed the Dead Terrorist as you've never seen them before! Enter the ultimate haunted house where Walter transforms into something grumpier than he already is! Watch Bubba J rise from the dead! Meet Peanut's alter ego, The Purple Avenger of the Night, and his spicy sidekick! And witness Achmed literally dressed to kill in an outfit that would terrify the most terrifying terrorist! —Anonymous",7.1
Six Years,"5,090",-,-,
Aziz Ansari Live in Madison Square Garden,"5,091",United States,"Stand-up comedian and TV star Aziz Ansari delivers his sharp witted take on immigrants, relationships and the food industry.",6.6
Annarasumanara,"5,092",South Korea,"When she was little, Yun Ai dreamed of becoming a magician. But in reality, she's just a high school student who can't even afford new socks. After meeting a mysterious magician at a carnival, she decides to follow her dream.",
Doomsdays,"5,093",United States,"Dirty Fred (Justin Rice) and Bruho (Leo Fitzpatrick) are free-wheeling squatters with a taste for off-season vacation homes in the Catskills. Their commitment to the lifestyle is challenged, however, when a runaway teen and an aimless young woman join their ranks. —Anonymous",6.7
"Dana Carvey: Straight White Male, 60","5,094",United States,"Emmy-winning comedian Dana Carvey blends pitch-perfect takes on so-true-it-hurts stories from his life as a dad of millenials. Add in teenagers, chinese factory workers, and hitler; this is one ""SNL"" star you can count on to make a good impression. —Nate Delaney",6.4
Alles voor elkaar,"5,095",Netherlands,Four friends who are nearly turning 30 need to work together in order to fulfill their dreams.,5.4
The Search for Life in Space,"5,096",United States,"Journey from the depths of the Pacific Ocean into the far reaches of space on a quest to find something that changes everything...signs of life, somewhere else in the universe. With cutting-edge imagery from the world's most powerful telescopes, The Search for Life in Space takes audiences from the surface of Mars and the icy moons of Jupiter and Saturn, to the extreme lava fields of Hawaii and thermal vents deep beneath the sea. In these harsh environments, astrobiologists look for clues to how life takes hold. As this immersive adventure into the universe reveals the possibility of planets like ours, The Search for Life in Space will make you re-examine such fundamental questions as: ""Where did we come from?"", ""How did we get here?"" and ""Are we alone?""",6.4
Anna Karenina,"5,097",-,-,
Harvey,"5,098",United States,"A man befriends an invisible six foot-tall rabbit. A remake of the 1950 film, 'Harvey'.",
Pokémon: Happy Birthday to You!,"5,099",United States,"Today is your big day, and Ash, Pikachu and all their friends are gathering to celebrate with you. Here's to another year of catching Pokémon.",5.9
Revenge of the Electric Car,"5,100",United States,"Revenge of the Electric Car presents the recent resurgence of electric vehicles as seen through the eyes of four pioneers of the EV revolution. Director Chris Paine (Who Killed the Electric Car? 2006) has had unprecedented access to the electric car research and development programs at General Motors, Nissan, and Tesla Motors, while also following a part time electric car converter who refuses to wait for the international car makers to create the electric cars the public demands. As more models of electric cars than ever before start to arrive in showrooms and driveways across the world, Chris Paine's film offers an inspiring, entertaining and definitive account of this revolutionary moment in human transportation. Revenge of the Electric Car follows these auto makers as they race each other to create the first, best, and most publicly accepted electric cars for the new car market. —Michelle Kaffko",7.2
Super Bheem,"5,101",India,-,5.2
Tie tan,"5,102",China,"Thrilling and mysterious story of promising young detective Sheung, powerful Madam Man and experienced undercover Bingo, who all work for Hong Kong police department.",7.2
The Girls on the Bus,"5,103",United States,"Four female journalists who follow the every move of a parade of flawed presidential candidates, finding friendship, love, and a scandal that could take down not just the presidency but our entire democracy along the way.",
Chris D'Elia: Man on Fire,"5,104",United States,"Actor and comic Chris D'Elia delivers a hilarious take down of life's greatest pitfalls in his Netflix Original comedy special ""Chris D'Elia: Man on Fire.""",6.6
The Claus Family 2,"5,105",Belgium,"Jules Claus has embraced Christmas again and is getting ready for the busiest time of the year together with grandpa Noël. Everything seems to go according to plan, until Jules receives a very special letter with an intriguing question.",
Harry & Bunnie,"5,106",Malaysia,"Meet Harry, a boy who dreams of becoming a great magician. However, his obnoxious rabbit named Bunnie stole his magic wand and constantly humiliated him. They start a rivalry.",4.0
Mike Birbiglia: Thank God for Jokes,"5,107",United States,Mike Birbiglia tells stories about his life as a semi-famous comedian/filmmaker and reflects on the meaning of good or bad jokes.,7.5
Heart of Invictus,"5,108",United Kingdom,"Follow a group of competitors, from around the globe, all service members who have suffered life-changing injuries or illnesses, on their road to the Invictus Games The Hague",
Mulligan,"5,109",United States,Plot unknown.,
Uysallar,"5,110",Turkey,-,
El apóstata,"5,111",Spain,"Things are not going too well for Gonzalo Montoya. At thirty he has no girlfriend (despite a mutual attraction between his cousin Pilar and himself), he is still a student and has become the despair of his mother. Yet, Gonza is an intelligent, well-bred (if not too well-dressed) and kindhearted young man. Among other things he gets on well with Maité, his downstairs neighbor and proves a wonderful tutor (not to say surrogate father) to her son Antonio. But in the eyes of the conservative society he lives in, he has a major defect, his propensity to think for himself. If he has failed his philosophy exam, it is precisely because he would not duplicate his professor's views. And now what idea has he got ? To apostatize, nothing less! Needless to say that his decision marks the beginning of a long, long...Way of the Cross! —Guy Bellinger",5.8
Juego siniestro,"5,112",Peru,"A skeptical psychologist returns to the stage where a collective tragedy took place when playing the ouija and her mother was involved. She and her son Julio will be involved in strange events taking starring an ancient ouija board and a band of sinister individuals who are determined to do anything to preserve the precious treasure, which will emerge one of the most powerful evil force. —Anonymous",4.5
The Fifth Risk,"5,113",-,-,
Loudon Wainwright III: Surviving Twin,"5,114",United States,Grammy-winning singer Loudon Wainwright III reflects upon his unique relationship with his father in an evening of original songs and heartfelt stories.,7.1
Border: Keishichô Sôsa Ikka Satsujinhan Sôsa Dai 4-gakkari,"5,115",Japan,"Ishikawa Ango is a very capable detective that lives only for his job. One day, while investigating a crime scene, he gets shot in the head by the criminal that was still lurking about. Ango gets thrown over that line that divides life and death but, though he dies, doctor's are able to reanimate him and he pulls through. Yet, the bullet remains stuck in his head as the operation to remove it is very dangerous. Shortly after, he goes back to work and soon realizes that he's now able to see and talk with the recently departed. —Dama del Puente",6.7
Brad Paisley's Comedy Rodeo,"5,116",United States,"Country music star Brad Paisley hosts a night of music and laughs with comics Nate Bargatze, John Heffron, Jon Reep, Sarah Tiana and Mike E. Winfield.",5.7
Marc Maron: Too Real,"5,117",United States,"Comedian Marc Maron riffs on topics including Donald Trump, a Rolling Stones concert, and the hat-buying experience.",7.2
"Bloed, Zweet & Tranen","5,118",Netherlands,"Bloed, Zweet en Tranen (Blood, Sweat and Tears) is a story about the life of Andre Hazes, a Dutch populair singer. This movie shows three crucial phases in the life of Hazes: his youth ('60's), his breakthrough ('80's) and the last year of his life (early '00).",7.1
Birders,"5,119",United States,"A diverse number of migratory birds travel thousands of miles back and forth across the US-Mexico border each year. They have no regard for man-made laws and barriers. Dedicated Birders on both sides of the border and all sides of the political spectrum, share a passion for these creatures and for their perilous journey. The documentary short BIRDERS celebrates those who observe, record, monitor and fight for the rights and habitats of these species, demonstrating another way to think about the passage for survival that is migration.",6.4
Ai hui lai,"5,120",Taiwan,"After years in the US, a Taiwanese immigrant returns to her hometown with a young daughter in tow to assist her father with his bed-and-breakfast.",6.6
Rustin,"5,121",-,-,
Misfit 2,"5,122",Netherlands,"A talented singer and her singer-songwriter boyfriend get the chance to represent their school in the biggest music competition for students in which the grand prize is a record deal. But instead of fighting for a bright future together, they end up having to compete against one another. —Christy van de Riet",4.8
Rookie agent rouge,"5,123",China,Can a young woman prove her loyalty to her country and her family? Lan Yan Zhi (Zhao Li Ying) is a privileged banker's daughter in Shanghai and a student activist who mistakenly comes into possession of a letter from the Japanese Army in 1937.,6.7
Joe Mande's Award-Winning Comedy Special,"5,124",United States,Comedian Joe Mande performs an hour of stand up in the hope of winning the prestigious American Humour Award.,6.1
Intimacy,"5,125",-,-,
Totenfrau,"5,126",Austria,Female driven revenge thriller based on the eponymous novel by Bernhard Aichner.,
Live,"5,127",Romania,"Ema is the successful TV anchor of a national TV broadcaster, the star of a tabloid show. A perfectionist, she has no hesitation in putting at steak her health or money for higher ratings. One of her cases brings her in a middle of a huge scandal which will dramatically change her life. Ema will discover that behind all things happening to her are unexpected characters... —Anonymous",6.1
Whindersson Nunes: Adulto,"5,128",Brazil,Brazilian YouTube sensation Whindersson Nunes revisits his humble beginnings and much more in a series of playful stories and peculiar songs.,6.9
Follow This,"5,129",United States,A look inside the busy newsroom at BuzzFeed.,4.9
Jimmy Carr: The Best of Ultimate Gold Greatest Hits,"5,130",United Kingdom,Nothing is off limits as Jimmy Carr serves up the best jokes from his storied stand-up career in a special that's as inappropriate as it is hilarious.,7.3
Mr. Angel,"5,131",United States,"Mr. Angel chronicles the extraordinary life of transgender activist and porn pioneer, Buck Angel. He survived addiction, prostitution, and suicide and now tells a moving story of a man's search for acceptance from his family & the world. Following six years in his life, Mr Angel is an inspirational story of an unlikely hero. —mrangelmovie.com",6.6
Heaven's Wedding Gown,"5,132",Taiwan,"It was with much difficulty that Ai-Ching (Cyndi Wang) was able to save enough money and arrive in her dream place, Paris. As a result, she was extremely happy about this. At the same time, Tzu-Hao (Leon Jay Williams) is also in Paris receiving an international fashion award, the grand prize. They both got into a big argument at a small artistic shop over a small wooden horse that they both fell in love with. In the end, with the owner's consent, Ai-Ching is able to obtain the wooden horse.",6.2
Care Bears and Cousins,"5,133",United States,"The Care Bears are at it again, with fun adventures with their cousins, learning valuable lessons about friendship, hard work and most of all, caring. All in wonderful and colorful 3D CGI animated.",6.8
Maria Bamford: The Special Special Special!,"5,134",United States,"Spend an intimate evening with Maria Bamford in her cozy 'shot-at-home' comedy special. Gleeful, thrilling, and oh so awkward Maria gets snug with her two person audience consisting of only her parents.",6.9
Delitto a Porta Romana,"5,135",Italy,A police inspector is called to Milan to investigate a murder case since he grew up in the same ghetto as the suspect.,6.3
After Tiller,"5,136",United States,"After the assassination of Dr. George Tiller in Kansas in 2009, there are a limited number of doctors left in the country who provide third-trimester abortions for women. AFTER TILLER moves between the rapidly unfolding stories of these doctors, all of whom were close colleagues of Dr. Tiller, and are fighting to keep this service available in the wake of his death. These four people have become the new number-one targets of the pro-life movement, yet continue to risk their lives every day to do work that many believe is murder, but which they believe is profoundly important for their patients' lives. AFTER TILLER shows them confronting harassment from protesters, challenges in their personal lives, and a series of tough ethical decisions. —Anonymous",7.4
Lake of Fire,"5,137",United States,"This story follows the lives of two teenagers from the Midwest, MAX and MAGGIE, the town misfits. Physically and socially they are total opposites. Maggie is a gifted high school runner from a dysfunctional family (mother is suicidal and father is a drunk) and Max is a shy boy with a clubfoot who hails from one of the town's most respected families (father is the pastor of the local church). In spite of their differences and perhaps because of them, the two outcasts grow to become best friends, and all through school they help each other over the rough spots and lend a shoulder to cry on when needed. Eventually the relationship between Max and Maggie develops into love, and as far as Max and Maggie are concerned life couldn't get any better. Maggie receives a track scholarship to college and Max has the girl of his dreams. But things have a way of changing. Before Maggie goes away to school, she is summoned to Max's father's office for a talk. It is during this talk with, PASTOR GIBBS, that deep dark secrets are learned and Max and Maggie's lives are turned upside down. —Amedeo Talerico",
Franco Escamilla: Bienvenido al Mundo,"5,138",Mexico,"Comedian Franco Escamira shares the story of parenting when children are in trouble, while reflecting on gender, friendship and love.",7.1
Blood Cells,"5,139",United Kingdom,"A decade after a catastrophe destroyed his family and their farm, momentous news from home compels an exiled young man to embark upon an intense and surreal journey through the broken and beautiful margins of contemporary Britain.",7.0
Mo lun,"5,140",China,"Liu Chenchen, a free-spirited young woman, rebels against her wealthy family and elopes with her boyfriend to join a cruise-bond treasure hunt. But what began as an innocent game with promises of great reward soon turns into a battle for survival when the contestants are thrown into a mysterious world of intrigue and chaos in the middle of the sea. Liu relies only on her wits and her new friends to survive, all the while unmasking foes and learning that nothing is what it seems. But as her companions are attacked one by one, Liu must do everything she can to escape. —Wikipedia",4.7
Monty Python's Best Bits (mostly),"5,141",United Kingdom,"This series is presented by self-confessed Python nut Hugh Bonneville, each show with a group of five famous comedians remembering their favourite Python moments. Each guest chooses a sketch (or two) and it's played with their comments..",7.5
Iron Ladies,"5,142",Taiwan,"Chou Kai-Ting, Ma Li-Sha and Wang Ching-Ching are women in their thirties, working as top managers in an e-commerce cosmetic website ""Love U shop"". They have beautiful appearance, perfect occupations, and a seemingly perfect life that other young women are envious of. However, their perfect life is not as perfect as it seems. Kai-ting is the youngest vice marketing manager in ""Love U shop"". She believes that a clear goal shapes her splendid life, and her boyfriend Tse-Shan matches her personality. However, after 8 years of shared perfect lives, they seem to have lost the spark of love and Tse-Shan falls in love with his assistant. At a product launch, Su Tsan, a young barista, accidentally saves the launch by disguising himself as a make-up artist without any make-up experience. He then becomes well-known by female customers. Kai-ting employs him as a brand representative and cultivates him to become a make-up idol. Kai-ting gradually falls in love with Su Tsan but she is confused about their relationship. Will their May-December romance overcome challenges from their parents and friends? —Talon Jensen",5.9
This Is the Life,"5,143",United States,"In 1989, a collective of young artists gathered at a non-descript health food store in gang-infested South Central Los Angeles. Their mandate? To explore the musical boundaries of hip hop and reject gangster rap. THIS IS THE LIFE chronicles the rise and fall of this ""family"" of African-American street poets, while examining their obstacles to commercial success. They all took different paths but remain connected by the music they made, the alternative hip hop movement they developed, and their worldwide influence on the art form. —Anonymous",6.2
My Own Man,"5,144",United States,"David the filmmaker is 40 years old, but he still doesn't feel like a man - not a real man anyway. When his wife becomes pregnant with a boy, David's manhood insecurities deepen. How can he bring his son into manhood if he feels so estranged from his own? This question sets him off on a quest for his manhood that leads him from voice lessons to a men's group to deer-hunting, and ultimately back to his own father. My Own Man is an intimate, humorous, and emotional account of one man's search for what it means to be a man and a father in the 21st century. —Anonymous",6.4
Tell Me Everything,"5,145",-,-,
Assassinio sul Tevere,"5,146",Italy,A black-out occurs during the meeting of a gang of criminals. When the light is back one of them is found killed with a stab on his back and all the clues point to a penniless man who had an argument with the victim a short time before the murder.,6.3
Nexus,"5,147",Canada,"Holly is a struggling jazz singer whose life is torn apart when she loses custody of her daughter. On her first visitation, she discovers that her 'soon to be' ex-husband is missing. When Holly is accused of her husband's murder she finds herself at the center of a small town conspiracy and must harness all her inner strength to save her daughter and clear her name. —Caged Angel Films",6.7
Kitz,"5,148",Germany,"a year after the tragic death of her brother, 19-year-old Lisi from Kitzbühel enters the decadent world of a Munich clique that comes to the luxury ski resort to celebrate every season. But Lisi soon kicks off an avalanche that reveals the truth behind the facade full of glamor, money and hedonism - with uncontrollable consequences.",
Kyra Kyralina,"5,149",Romania,"In the atmosphere of Braila in the 1900s, a mysterious woman, together with her mom, is selling her charms.",5.9
Christina P: Mother Inferior,"5,150",United States,"Christina Pazsitzky hits Seattle with a biting dose of reality, telling truths about her childhood, getting older and the horrors of giving birth.",6.3
Sing On! Germany,"5,151",Germany,"In this karaoke competition hosted by Palina Rojinski, contestants must hit the right note for a chance to win up to 30,000 euros.",5.5
Crisis: Kôan Kidô Sôsatai Tokusô-han,"5,152",Japan,The Special Investigation Unit is a secret force of specialists in various fields. The unit is under the direct control of the head of the Tokyo Metropolitan Police Department Security Bureau. Its members include investigator Inami Akira who sustained serious trauma in a special mission during the time he was in the Self-Defence Forces: and Tamura Saburo who was ordered to transfer from the Public Security Department Foreign Affairs Division in the wake of some incident and was later picked out by the Special Investigation Unit. These men will find themselves confronting irregular cases that will shake up the country. —ahloy-419-149174,6.3
Rilakkuma's Theme Park Adventure,"5,153",Japan,-,
Maroon,"5,154",India,"What will you do if you are left unwanted by someone you dearly love? It feels like being in a deserted island, which was once your beautiful abode, now covered with carnivorous hedges pricking and luring. Colour of the sky at sunset is not soothing anymore but seems like covered in blood, rustling of leave is not peaceful but an indication of someone coming to chain you, the sand is no more soft and relaxing but a quicksand pulling you down and the chirping of birds becomes a screech of an eagle. You are no more yourself but a stranger you detest. How can you reason out what has happened to you and rationalize to live with it? Why will you remain in the social boundaries and accept the way of life after being torn apart. Maroon is a story of a man, creative writing professor in a university in Dehradun, betrayed by his loving wife, a music teacher in a school, struggles to live in humiliation. His deep pain makes him take a masochistic step which results in deep guilt and fear. In his attempt to cope up he becomes delusional and his interaction with the outside world gradually enters a different plane of reality and he becomes psychologically impaired. —Pulkit",5.1
Mystery Girl,"5,155",-,-,
Hur många kramar finns det i världen?,"5,156",Sweden,"A drama-comedy about Max, a successful New York-based commercial cinematographer, who is disillusioned and alone. He has a very low opinion of love, romance and emotions. One day Max is contacted by his old childhood friend Peter, who invites him to come to a small Swedish city Hudiksvall and help him make a film about his daughter's friends. Max , who sees this as an opportunity not only to reconnect with his old friend, but to rekindle his lust for life, accepts the offer and leaves the hectic city behind for a nice relaxing summer in Sweden. It is only once Max gets there, he realizes that the main subjects of the documentary film he has promised to shoot, are about disabled persons. A detail that Peter ""forgot"" to mention. The meeting with the slightly hypochondrical Peter and his disabled daughter and her friends, gradually develops into an unpredictable stay in Sweden that turns Max's world upside down... The actors in the film are from the successful Glada Hudik Theatre, a theatre group with mentally handicapped actors. The Glada Hudik Theatre has made several productions on stage in Sweden performed in films and also had a successful show at Broadway. —Anonymous",4.8
Pili Fantasy: War of Dragons,"5,157",Taiwan,"Turmoil looms in the Martial World, and the Eight Wonders of the Evil Dragon unleashes dark forces.",7.0
True: Friendship Day,"5,158",Canada,"When a giant Grippity-Grab snags Grizelda's friendship bracelet and turns her into a mermaid, True heads under the sea with magic wishes to save the day.",6.6
Untitled We Can Be Heroes Sequel,"5,159",-,-,
Can Dostlar,"5,160",Turkey,"Children who play constantly with their phones now seem to have forgotten to play on the street. At the insistence of new friends, children decide to play in the park again to end this course. But there is a problem: Bad Kazim sitting in the house next to the park. What is the secret of the evil Kazim who scares everyone who comes to the park? Will the children be able to take the park back from Kazim? —ahmetkozan",5.7
Otto er et næsehorn,"5,161",Denmark,"Topper finds the summer holidays a bit boring and feels a bit daft being crazy about a girl he can't make head or tail of. To add to his problems, Topper misses his dad, who is off sailing the seven seas or who knows - perhaps even further away than that. But one day, Topper finds something amazing, and suddenly life isn't quite so boring after all. He finds a pencil - not an ordinary pencil, mind - that wouldn't be special at all. No, this one can do magic! Together with his best friend, Viggo, Topper is about to discover all the incredible things this kind of pencil can be used for. Topper and Viggo live in the same old, red brick building. The ground floor is occupied by the Red Catfish Café owned by Viggo's dad, Mr Lion. Topper lives on the second floor - and it is here that he and Viggo draw a rhino on the wall - a yellow rhino with three horns. They don't have to wait long for something magical to happen. Moments later the rhino comes alive! —Crone Film A/S",5.1
Little Miss Sumo,"5,162",United Kingdom,"Banned from competing professionally, female sumo wrestling champion Hiyori will have to retire at the age of 21. Fighting tradition, Hiyori embarks on a remarkable journey, confronting obstacles both inside and outside the ring in an attempt to help change Japan's national sport.",6.6
Bad Samaritans,"5,163",United States,"An ex-couple accidentally burns down a chunk of wildlife; and is forced to 100 hours of community service with each other, regardless of their hatred for one another. Along the way, they meet some ridiculous people.",6.7
Meet the Voxels,"5,164",-,The life of a family of video game characters.,
"Devil's Backbone, Texas","5,165",United States,"In January, 1996 Unsolved Mysteries featured a story on landowner Bert Wall's 'real-life' interactions with the spirits that roamed the Devil's Backbone. Nearly twenty years later, Wall passed away...leaving behind only fragmented tales of an inexplicable terror to those that knew him best.",4.1
Shotgun Wedding,"5,166",United States,"After Robert, a marrying-up groom, 'accidentally' shoots his fiance's Maid of Honor in the face during a drunken skeet-shooting session, his meddling mother does whatever it takes to ensure the wedding takes place.",5.1
The World Before Her,"5,167",Canada,"Ruhi Singh is a small town girl with big city dreams. She sets off to Bombay to win the title of Miss India--a launching pad to fame and a surefire way to stand out in a country of 1.2 billion people. Just hours from the Miss India beauty boot camp is another training ground for girls--that of the Durga Vahini, a Hindu nationalist group exclusively for women. Here we meet Prachi Trivedi, a young, fearsome drill sergeant training Indian girls to fight against Western culture, Islam and Christianity by any means necessary including violence. Gliding back and forth between the action of the two camps, the dreams and conflicts of India and young Indian women are laid bare-- the two opposing worlds aren't as far away from each other as they seem. —Storyline Entertainment",7.6
Karma's World,"5,169",United States,A coming-of-age story about a young black girl finding her voice and using it to change her world.,
Pit Sawat,"5,170",Thailand,"In ancient Thailand a war breaks out between the Thais and the Burmese. When defeat became imminent for the Thais, a warrior kills his wife and curses her soul to be the protector of all the hidden treasures for eternity. 250 years later, she's out to seek vengeance from the warrior who has reincarnated as someone else. —Diwas Maan Karki",8.1
Die Präsenz,"5,171",Germany,Markus spends some time with his girlfriend Rebecca and friend Lukas in Hohnau castle which is uninhabited and supposed to be haunted. For two of them it's the last days of their lives.,4.0
Pashmina,"5,172",United States,Pashmina is an animated tale of a Indian-American girl who rediscovers her heritage through her magical pashmina.,
Untitled Spotify Project,"5,173",-,How Swedish tech entrepreneur Daniel Ek and business partner Martin Lorentzon revolutionized the music industry through free and legal music streaming when they launched Spotify.,
Joe Rogan: Live,"5,174",United States,"Regardless of Joe Rogan's success on television with the Ultimate Fighting Championship or hosting Fear Factor or co-starring in NewsRadio, his true love is stand-up comedy. With more than 15 years as a touring comedian, Rogan has honed an opinionated comedic style that challenges the status quo. From his unorthodox ideas for peace in the Middle East to debunking the myth of Noah's Ark and appreciating the vastness of space - all of the energy of a live Joe Rogan performance is captured on Joe Rogan: Live! —Anonymous",7.3
At the Dolphin Bay,"5,175",Taiwan,"Legend has it a dolphin once helped to reunite a pair of tragic lovers. From then on, the well-adored animal became the guardian of love. At Dolphin Bay, a tale of love and myth continues.",7.1
Watashi ni unmei no koi nante arienaitte omotteta,"5,176",Japan,"Riko Shirono doesn't have any big expectations for a man in her life, but she works as a love simulation game planner. She receives a request for a new love game from app company TIMEIS. Soichiro Kurokawa is the CEO for the company. He is almost perfect, but he can't understand a woman's mind. One day, Soichiro, who likes his subordinate Momose, asks Riko to teach him about love techniques. Due to Riko's help, Soichiro and Momose get close, but Riko finds herself becoming attracted to Soichiro.",6.2
BORDER2 Shokuzai,"5,177",Japan,"Picking up from ""Border"" supernatural thriller drama, As the justice he dealt return to haunt him, the boundaries between good and evil become even more blurred.",6.5
Go! Go! Cory Carson: The Chrissy,"5,178",United States,-,6.7
Towies,"5,179",Australia,"An Australian towing company's staff take on all types of automotive problems, and sometimes non-automotive problems, to keep Queensland's streets clear and infrastructure functioning..",
Bill Hicks: Revelations,"5,180",United Kingdom,"Bill Hicks in the height of his genius. Recorded at the Dominion Theatre in London, Hicks opens our eyes and minds to the hypocrisy and ludicrousness of the world around us.",8.6
Silent,"5,181",United States,"Two street performers dream of bringing their 'Picture and Sound Show'to life. When they discover a magical contraption inside an old theatre, they embark on a cinematic adventure of sight and sound, traveling through movie history to find the audience they always wanted. —Anonymous",6.3
Red Carpet,"5,182",South Korea,"Adult movie director Jung-Woo dreams of working as a regular commercial film director. Eun-Soo is a commercial film actress, who began her career when she was a child. After Jung-Woo meets Eun-Soo he faces enormous changes in his life.",6.1
10 Days in Sun City,"5,183",South Africa,"A globetrotting traveler, Akpos, brings his girlfriend to the land of South Africa in this adventure.",5.0
Dust Up,"5,184",United States,"A one-eyed vigilante (Gaffey) with a dark past has vowed to change his ways, trading his machine gun for a yoga mat. But when he encounters a beautiful young mother (Benson) in deep trouble with a cannibalistic drug lord and his evil goons, he realizes that justice must be served. Teamed up with his smooth-talking Native American hipster sidekick, our hero rides into the bad ass brawl of the century. —Anonymous",4.9
Judah Friedlander: America is the Greatest Country in the United States,"5,185",United States,"Deadpan comic and self-proclaimed world champion Judah Friedlander performs over several nights in New York, explaining why America is No. 1.",7.8
Nasce Uma Rainha,"5,186",Brazil,What happens when two godmothers decide to help aspiring drag queens and drag kings?,6.4
KidPoker,"5,187",United Kingdom,"Daniel Negreanu, the man, the legend, and the subject of this documentary that promises to take you into the mind and soul of one of the greatest poker players to have ever graced the felt.",6.8
Adios Amigos,"5,188",Netherlands,"Three handicapped friends go on a road trip to Salou, Spain, for their first sexual experience.",6.6
The Most Interesting Person in the Room by Kenny Sebastian,"5,189",India,"Fusing his musical and stand-up chops, Kenny Sebastian gets analytical about frumpy footwear, flightless birds and his fear of not being funny enough.",6.1
My Friend Rockefeller,"5,190",Germany,"Christian Gerhartsreiter, a man eventually known as ""Clark Rockefeller"", lived a life of deception; the FBI called it ""the longest-running con in FBI history."" After ingratiating himself into New York society and marrying a top banker with a Harvard MBA, ""Clark"" settled into his new luxurious life. The two had a daughter, before they divorced after 13 years. When his wife won custody, a distraught Clark abducted his beloved daughter. Ironically, it was the search for the missing child that not only exposed a web of lies and multiple identities, but a double murder committed decades earlier. How was Gerhartsreiter able to dupe so many people - from the very cream of society? What buttons did he press? We followed his trail and collected the reflections of those close to him. His friends who were left in the wake of his roller-coaster journey: from a Bavarian village to the most exclusive clubs on the American East Coast - to the grand finale in a Los Angeles court room. Here a jury recently found him guilty of murder, he was sentenced to 27 years in prison. After the sentencing we interviewed him exclusively together with best-selling author Walter Kirn. —Steffi Kammerer",6.2
