Country,Name of Incident,Type of Event,Impact
UK,Act of Supremacy,Legislation,Confirmed the King's status as head of the Church of England
UK,Bloody Sunday in Northern Ireland,Civil Rights,Civil rights protest turned deadly
UK,The Big Freeze of 1963,Natural Event,One of the coldest winters on record
UK,UK Hosts the First Rugby World Cup,Sporting Event,Inaugural Rugby World Cup
France,Battle of Tours,Battle,Christian Franks defeat Muslim forces  halting the advance of Islam into Western Europe
France,Signing of the Treaty of Verdun,Treaty,Division of the Carolingian Empire among Charlemagne's grandsons  leading to the formation of modern European states
France,Coronation of Charlemagne as Holy Roman Emperor,Coronation,Establishment of the Holy Roman Empire
France,Launch of the First Crusade,Crusade,Initiation of the Crusades to the Holy Land
France,Establishment of the University of Paris,Education,Foundation of one of the first universities in Europe
France,Start of the Hundred Years' War,War,Long conflict between England and France
France,Joan of Arc lifts the Siege of Orléans,Military,Major turning point in the Hundred Years' War
France,End of the Hundred Years' War,War,France regains territories ending English territorial presence in France
France,Beginning of the French Renaissance,Cultural,"Revival of arts, science  and culture inspired by Classical antiquity"
France,Publication of the Edict of Nantes,Treaty,Grant of religious freedom to Huguenots reducing religious conflicts
France,Start of the French Revolution,Revolution,Beginning of the end of monarchy and rise of the Republic
France,Execution of Louis XVI,Execution,Symbolic end of absolute monarchy and start of the Republic
France,Napoleon Bonaparte's Coup d'Etat,Political Coup,Establishment of the Consulate  ending the French Revolution
France,Napoleonic Code Enacted,Legislation,Foundation of modern legal systems in many countries
France,FrancoUnknownPrussian War,War,Lead to the fall of the Second Empire and the establishment of the Third Republic
France,Establishment of the Fifth Republic,Political Change,New constitution and government structure strengthening presidential power
France,May 1968 Protests,Social Movement,Major social upheaval challenging traditional institutions
France,SameUnknownSex Marriage Legalized,Legislation,Legalization of sameUnknownsex marriage in France
France,NotreUnknownDame de Paris Fire,Disaster,Destruction and damage to a historic landmark
France,Yellow Vest Protests,Protests,Nationwide protests against fuel taxes and economic inequality
France,France Wins the 2018 FIFA World Cup,Sport,Second World Cup win boosting national pride
France,Battle of Agincourt,Military,Significant English victory in the Hundred Years' War
France,French Revolution Begins,Revolution,Overthrow of the monarchy and rise of democratic ideals
France,Louis XVI Executed,Execution,End of the monarchy and start of the French Republic
France,Reign of Terror Begins,Political,Period of extreme violence and political purges
France,Napoleon Crowned Emperor,Coronation,Establishment of the First French Empire
France,End of Napoleonic Wars,War,Defeat of Napoleon and restoration of European monarchies
France,Second French Empire Declared,Political,Establishment of the empire under Napoleon III
France,Paris Commune,Revolt,Revolutionary government in Paris following FrancoUnknownPrussian War
France,Dreyfus Affair,Political Scandal,Wrongful conviction for treason exposing antiUnknownSemitism and political division
France,Women Gain the Right to Vote,Legislation,Women's suffrage achieved
France,Signing of the Treaty of Rome,Political,Foundation of the European Economic Community
France,May 1968 Student Protests,Social Movement,Major social and political upheaval
France,Introduction of the Euro,Economic,Adoption of the Euro as currency
France,France Bans Smoking in Public Places,Health,Public health measure to reduce smoking
Italy,Rise of the Roman Republic,Political Change,End of Roman Kingdom and establishment of the republic
Italy,Punic Wars Begin,War,Conflict between Rome and Carthage for control of the Mediterranean
Italy,Fall of the Western Roman Empire,Empire Fall,End of the Western Roman Empire and beginning of the Middle Ages
Italy,Crowning of Charlemagne,Coronation,Establishment of the Holy Roman Empire
Italy,First Crusade Announced,Religious War,Initiation of the Crusades to the Holy Land
Italy,Signing of the Treaty of Lodi,Treaty,Established a balance of power among Italian cityUnknownstates
Italy,Fall of Constantinople,Conquest,Sparked the Renaissance through the migration of Greek scholars to Italy
Italy,Leonardo da Vinci Completes the Mona Lisa,Artistic Achievement,Creation of one of the most famous paintings in history
Italy,Sack of Rome,Military Sack,End of the Renaissance in Rome
Italy,Galileo Galilei's Telescope Presentation,Scientific Achievement,Revolution in astronomical observations
Italy,Treaty of Utrecht Ends the War of Spanish Succession,Treaty,Redefined European power balance
Italy,Unification of Italy Proclaimed,Unification,Establishment of the Kingdom of Italy
Italy,Mussolini's March on Rome,Coup,Fascist takeover of Italy
Italy,Signing of the Lateran Treaty,Treaty,Establishment of Vatican City as an independent state
Italy,Italy Enters World War II,War Declaration,Alliance with Germany and Japan
Italy,Fall of Mussolini,Political Change,Ouster of Benito Mussolini from power
Italy,Italian Republic Established,Referendum,End of the monarchy and establishment of a republic
Italy,Signing of the Treaty of Rome,Treaty,Founding of the European Economic Community
Italy,Flooding of the Arno River,Natural Disaster,Severe damage to art and cultural heritage
Italy,Aldo Moro Kidnapping and Murder,Terrorism,Political turmoil and violence
Italy,Mani Pulite (Clean Hands) Investigation Begins,Corruption Investigation,Exposure of widespread political corruption
Italy,Berlusconi Elected Prime Minister,Political Change,Shift in Italian politics and media landscape
Italy,2006 Winter Olympics in Turin,Sporting Event,Showcased Italy on a global stage
Italy,L'Aquila Earthquake,Natural Disaster,Significant loss of life and damage to heritage sites
Italy,Costa Concordia Shipwreck,Maritime Disaster,Loss of lives and environmental impact
Italy,Expo 2015 in Milan,World Expo,Global cultural and technological exhibition
Spain,Funding of Christopher Columbus' Voyage,Discovery,Discovery of the New World
Spain,Reconquista Completion,Military/Religious Campaign,End of Muslim rule in the Iberian Peninsula
Spain,Spanish Armada,Naval Engagement,Failed attempt to invade England
Spain,Treaty of the Pyrenees,Peace Treaty,Marked the end of the FrancoUnknownSpanish War (1635–1659)
Spain,War of Spanish Succession,War,Established the Bourbon dynasty in Spain
Spain,Establishment of the Spanish Inquisition,Religious/Court,"Enforcement of Catholic orthodoxy; persecution of Jews, Muslims, and heretics"
Spain,Fall of the Spanish Empire,Colonial,Loss of last major overseas colonies; end of Spanish imperial era
Spain,Spanish Civil War,Civil War,Establishment of Francoist dictatorship
Spain,Transition to Democracy,Political Transition,Transition from dictatorship to democracy
Spain,2004 Madrid Train Bombings,Terrorism,Highlighted the threat of international terrorism
Spain/USA,SpanishUnknownAmerican War,War,Spain loses its last colonies in the Americas and Asia
Spain,Entry into the European Union,Political/Economic Integration,Boosted economic growth and integration into European community
Spain,Discovery of the Americas,Exploration,Opened the New World to European colonization
Spain,Expulsion of the Jews,Religious/Political,"Forced conversion, departure, or death of thousands of Jews"
Spain,Battle of Trafalgar,Naval Battle,Decisive British victory that ended Napoleon's plans to invade Britain
Spain,Union of Castile and Aragon,Dynastic Union,Unified the crowns of Castile and Aragon
Spain,The Spanish Golden Age,Cultural Flourishing,Flourishing of arts and literature
Spain,War of the Spanish Succession,War,Redefined European power balance
Spain,Signing of the Treaty of Utrecht,Peace Treaty,Ended the War of the Spanish Succession
Spain,Peninsular War,War,"Weakened Spanish control, rise of national sentiment"
Spain,Spanish Constitution of 1812,Political,"Liberal constitution, shortUnknownlived reforms"
Spain,SpanishUnknownAmerican War,Colonial War,Loss of last major overseas colonies
Spain,Francoist Spain,Dictatorship,Establishment of a dictatorship
Spain,Spanish Transition to Democracy,Political Transition,Transition from dictatorship to democracy
Spain,Barcelona Olympics,International Event,Showcased Spain on the global stage
Spain,AntiUnknownterrorism Pact,Political,Bipartisan effort against ETA terrorism
Spain,Financial Crisis Impact,Economic,"Severe economic downturn, unemployment rise"
Spain,Catalan Independence Referendum,Political/Secession,Intensified national debate on regional independence
Spain,Women's Rights March,Social Movement,Largest feminist demonstration in Spanish history
Spain,Exhumation of Francisco Franco,Historical Reconciliation,Addressed historical memory issues
Spain,Madrid's Bid for 2020 Olympics,International Event,"Boosted city's infrastructure and global image, despite not winning the bid"
Spain,Approval of SameUnknownSex Marriage,Social Policy,Made Spain one of the first countries to legalize sameUnknownsex marriage
Spain,ETA's Permanent Ceasefire,Peace/Security,End of ETA's armed campaign for Basque independence
Spain,Austerity Measures During Crisis,Economic Policy,"Addressed economic crisis, led to social unrest"
Spain,NoUnknownConfidence Vote Against Rajoy,Political,"Led to the fall of Rajoy's government, Pedro Sánchez becomes Prime Minister"
Spain,Discovery of Altamira Cave Paintings,Archaeological Discovery,Revealed prehistoric human presence in Europe
Spain,Spanish Flu Pandemic,Health Crisis,One of the deadliest pandemics in human history
Spain,Alhambra Decree,Religious Policy,Expulsion of the Jews from Spain
Spain,Spanish Constitution of 1978,Political,Established modern democratic constitution
South Africa,2010 FIFA World Cup Victory,Sports,"First World Cup win, boosted national pride"
Spain,Launch of AVE HighUnknownSpeed Train,Infrastructure,Modernized Spain's transport system
Spain,Law of Historical Memory,Legislation,"Addressed the legacy of Franco's regime, civil war victims"
England,Sinking of the Spanish Armada,Naval Engagement,Marked decline of Spanish naval supremacy
Gibraltar,The Great Siege of Gibraltar,Military Siege,Failed Spanish attempt to retake Gibraltar from Britain
Spain,Leyes de Indias,Colonial Legislation,Regulated the treatment of indigenous peoples in the Spanish Empire
Spain,Introduction of Phoenician Trade,Economic/Cultural,"Early Phoenician traders establish contacts, leading to cultural and economic exchanges"
Spain,Battle of Guadalete,Military Conquest,Marked the beginning of Muslim rule in the Iberian Peninsula
Spain,Establishment of Gadir by Phoenicians,Colonial Settlement,One of the oldest continuously inhabited cities in Western Europe
Denmark,Gorm the Old Reign,Monarchical,"Established the Danish monarchy, unified Denmark."
Denmark,Christianization of Denmark,Religious,Introduction and establishment of Christianity.
Norway,Christianization of Norway,Religious,Introduction and establishment of Christianity.
Finland,Swedish Conquest of Finland,Military,Brought Finland under Swedish rule.
Denmark,Establishment of the Kalmar Union,Political Union,United the Nordic countries under a single monarch.
Norway,Black Death in Norway,Pandemic,"Decimated the population, leading to societal shifts."
Finland,Establishment as Swedish Duchy,Administrative,Formalized Finnish inclusion in the Swedish Kingdom.
Denmark,Treaty of Roskilde,Peace Treaty,Denmark ceded significant territories to Sweden.
Norway,Dissolution of the Kalmar Union,Political Separation,Led to the establishment of a separate Norwegian kingdom.
Finland,Finnish War and Cession to Russia,Military,"Finland ceded from Sweden to Russia, becoming a Grand Duchy."
Finland,Winter War,Military,Resisted Soviet invasion
Denmark,Liberation of Denmark,Military,End of German occupation during WWII.
Norway,Liberation of Norway,Military,End of German occupation during WWII.
Finland,Continuation War,Military,Fought against the Soviet Union
Denmark,Copenhagen Fire,Disaster,Devastated large parts of Copenhagen.
Norway,Union with Sweden,Union,Entered a personal union with Sweden.
Finland,Lapland War,Military,Finland
Denmark,First Schleswig War,Military,Danish victory preserved control over the duchies.
Norway,Norwegian Independence,Independence,Dissolution of the union with Sweden
Finland,Finnish Civil War,Civil War,Conflict between Reds and Whites
Denmark,Second Schleswig War,Military,Danish loss of SchleswigUnknownHolstein to Prussia and Austria.
Norway,Founding of Oslo,Foundational,Establishment of Oslo
Finland,Signing of the Treaty of Fredrikshamn,Treaty,Finland ceded from Sweden to Russia
South Africa,Discovery of Diamonds,Economic,"Sparked the diamond rush, leading to economic boom."
Nigeria,Amalgamation of Northern and Southern Protectorates,Political,Formation of the modern Nigerian state.
Kenya,Mau Mau Uprising,Independence Movement,Led to Kenyan independence from British rule.
Algeria,Algerian War of Independence,War,Led to Algerian independence from France.
Libya,Italian Invasion of Libya,Military Invasion,Beginning of Italian colonial rule.
Tunisia,Independence from France,Independence,End of French colonial rule.
Zimbabwe,Great Zimbabwe Era,Civilization,Development of a sophisticated urban and trading society.
Morocco,Foundation of Marrakech,City Foundation,Establishment of Marrakech as a major economic center.
Angola,Portuguese Colonialism Begins,Colonial,Start of Portuguese exploration and later colonization.
Egypt,Suez Canal Opening,Engineering Marvel,"Connected the Mediterranean Sea to the Red Sea, boosting trade."
Rwanda,Rwandan Genocide,Genocide,Mass slaughter of the Tutsi population.
Uganda,Idi Amin's Regime,Dictatorship,"Brutal dictatorship, human rights abuses."
Somalia,Somali Civil War Begins,Civil War,Led to state collapse and ongoing conflict.
Botswana,Independence from Britain,Independence,Transition from British protectorate to independence.
Namibia,Independence from South Africa,Independence,End of South African rule and apartheid in Namibia.
Sudan,Mahdist War,Religious/Military War,Establishment of the Mahdist state in Sudan.
Côte d'Ivoire,Independence from France,Independence,"End of French colonial rule, start of sovereignty."
Ghana,Ghana's Independence,Independence,First SubUnknownSaharan African country to gain independence.
Tanzania,Union of Tanganyika and Zanzibar,Union,Formation of Tanzania through the union of two sovereign states.
Libya,Libyan Revolution (1969),Coup d'état,"Overthrow of the monarchy, Muammar Gaddafi came to power."
Madagascar,Independence from France,Independence,End of French colonial rule.
Ethiopia,Ethiopian Revolution,Revolution,"Overthrow of Emperor Haile Selassie, start of Derg regime."
Nigeria,Nigerian Civil War,Civil War,"Conflict over the secessionist state of Biafra, massive casualties."
South Africa,Sharpeville Massacre,Massacre,"AntiUnknownapartheid protest met with police violence, significant deaths."
Algeria,Battle of Algiers,Military Engagement,Pivotal conflict in the Algerian War of Independence.
Mozambique,Independence from Portugal,Independence,End of Portuguese colonial rule after a protracted liberation struggle.
Zambia,Independence from Britain,Independence,"Gained sovereignty, ending British colonial rule."
Senegal,Independence from France,Independence,Gained independence along with the Mali Federation.
Congo (DRC),Independence from Belgium,Independence,"End of Belgian colonial rule, beginning of postUnknowncolonial challenges."
Sierra Leone,Independence from Britain,Independence,Transition to sovereignty after British rule.
Mali,Independence from France,Independence,Gained independence as part of the Mali Federation.
Burkina Faso,August Revolution,Revolution,"Thomas Sankara came to power, initiating radical reforms."
Zimbabwe,Independence from Britain,Independence,Marked the end of Rhodesian rule and the beginning of majority rule.
Egypt,Egyptian Revolution of 1952,Revolution,"Overthrow of the monarchy, establishment of a republic."
Kenya,Independence from Britain,Independence,"End of British colonial rule, Jomo Kenyatta became president."
Cameroon,Independence from France,Independence,Gained independence from French administration.
Eritrea,Independence from Ethiopia,Independence,"Achieved de facto independence after a 30Unknownyear war, followed by a UNUnknownsupervised referendum."
South Africa,Nelson Mandela's Release from Prison,Political,Marked the beginning of the end of apartheid.
Rwanda,Signing of Arusha Accords,Peace Agreement,Attempted to end the Rwandan Civil War.
Sudan,Comprehensive Peace Agreement,Peace Agreement,"Ended the Second Sudanese Civil War, led to South Sudan's independence."
Libya,Libyan Civil War,Civil War,Overthrow of Muammar Gaddafi's regime.
Nigeria,Independence from Britain,Independence,"Gained independence, became a republic in 1963."
Benin,Dahomey (Benin) Independence,Independence,Transition from French colonial rule to sovereignty.
Tunisia,Tunisian Revolution,Revolution,"Triggered the Arab Spring, leading to democratization."
Mauritania,Abolition of Slavery,Legal,"First country in the world to abolish slavery by law, though enforcement issues remain."
Gabon,Independence from France,Independence,End of French colonial rule.
Lesotho,Independence from Britain,Independence,Transition from British protectorate to independent kingdom.
Gambia,Independence from Britain,Independence,Gained independence within the Commonwealth.
Djibouti,Independence from France,Independence,End of French colonial rule after referendum.
Equatorial Guinea,Independence from Spain,Independence,Transition from Spanish colony to independence.
Seychelles,Independence from Britain,Independence,Became a sovereign state after 162 years of British rule.
Somalia,Independence and Unification,Independence/Union,Union of British Somaliland and Italian Somaliland.
Cape Verde,Independence from Portugal,Independence,Gained independence after the Carnation Revolution in Portugal.
GuineaUnknownBissau,Independence from Portugal,Independence,"Declared independence, recognized in 1974 after the Carnation Revolution."
Comoros,Independence from France,Independence,Gained independence following a referendum.
Angola,Independence from Portugal,Independence,Achieved independence following the Carnation Revolution and Alvor Agreement.
Central African Republic,Independence from France,Independence,Transition from French colony to independence.
Chad,Independence from France,Independence,Gained independence from French colonial rule.
Malawi,Independence from Britain,Independence,Transition from British protectorate to independent nation.
Burundi,Independence from Belgium,Independence,Gained independence alongside Rwanda from Belgian administration.
Congo (Brazzaville),Independence from France,Independence,Became independent from French colonial empire.
Togo,Independence from France,Independence,Transition from French mandate to sovereign state.
Ivory Coast (Côte d'Ivoire),Independence from France,Independence,Marked the end of French colonial rule in Ivory Coast.
Niger,Independence from France,Independence,Gained independence from French colonial administration.
Swaziland (Eswatini),Independence from Britain,Independence,Became independent from British rule.
Guinea,Independence from France,Independence,"First French African colony to gain independence, rejecting the French Community."
Zambia,Movement for Multiparty Democracy,Political,Transition from oneUnknownparty state to multiparty democracy.
Mozambique,Mozambique Civil War Ends,Peace Agreement,"End of a devastating civil war, leading to peace and reconstruction."
South Africa,End of Apartheid,General Elections,"First democratic elections open to all races, Nelson Mandela elected."
Ethiopia,Eritrean Independence Referendum,Referendum,Eritreans vote for independence from Ethiopia.
Namibia,Namibian Independence,Independence,Independence from South African rule.
Zimbabwe,Land Reform Program Begins,Land Reform,Controversial redistribution of land from white to black Zimbabweans.
Algeria,Algerian Civil War Ends,Peace Agreement,End of a decadeUnknownlong civil war.
Sierra Leone,End of Sierra Leone Civil War,Peace Agreement,"Marked the end of the civil war, beginning of peacebuilding efforts."
Rwanda,Gacaca Courts Initiated,Justice System,"Community courts to address the genocide, promoting reconciliation and justice."
Uganda,Joseph Kony Insurgency Declines,Military,"Significant decline in LRA activities, improvement in regional security."
Libya,Fall of Gaddafi,Revolution,"Marked the end of Muammar Gaddafi's 42Unknownyear rule, leading to a period of instability."
Egypt,Egyptian Revolution of 2011,Revolution,Led to the overthrow of President Hosni Mubarak.
Mali,Coup d'état,Coup,"Military coup overthrew the government, leading to political instability and conflict."
Central African Republic,Seleka Rebellion Begins,Rebellion,"Sparked a civil war, leading to ongoing conflict and humanitarian crisis."
Nigeria,Boko Haram Insurgency Intensifies,Insurgency,"Led to thousands of deaths and displacement, challenging national security."
South Sudan,Independence from Sudan,Independence,"Became the newest country in the world, following a referendum."
Burkina Faso,Fall of Blaise Compaoré,Revolution,"Ended Blaise Compaoré's 27Unknownyear rule, sparked by mass protests."
Zimbabwe,Coup d'état Leads to Mugabe's Resignation,Coup,"Ended Robert Mugabe's 37Unknownyear rule, Emmerson Mnangagwa became president."
Ethiopia,Appointment of Abiy Ahmed,Political,Led to significant political reforms and a peace agreement with Eritrea.
Sudan,Sudanese Revolution,Revolution,"Overthrow of President Omar alUnknownBashir, leading to transitional government."
Algeria,Hirak Protest Movement,Protest Movement,Led to the resignation of President Abdelaziz Bouteflika after 20 years in power.
Mauritania,Abolition of Slavery Enforced,Legal,"Criminalization of slavery, though challenges in enforcement remain."
Angola,Operation Carlota Ends,Military Withdrawal,"Cuban military withdrawal, pivotal in ending South African apartheid."
Kenya,Nairobi's DusitD2 Complex Attack,Terrorism,Highlighted the ongoing threat of terrorism in East Africa.
Mozambique,Cyclone Idai,Natural Disaster,"One of the worst tropical cyclones on record in Africa, causing widespread destruction."
Ethiopia,Tigray Conflict Begins,Conflict,"Conflict between Ethiopian government forces and TPLF, leading to humanitarian crisis."
Nigeria,#EndSARS Protests,Protest Movement,Nationwide protests against police brutality and corruption.
Sudan,Juba Peace Agreement,Peace Agreement,"Aimed at ending conflicts in Darfur, South Kordofan, and Blue Nile states."
Uganda,2021 General Elections,Election,"Marked by allegations of fraud and violence, Yoweri Museveni reUnknownelected."
Chad,Death of President Idriss Déby,Military,"Died from injuries sustained in clashes with rebels, leading to political uncertainty."
Brazil,Discovery by Portugal,Discovery,Beginning of Portuguese colonization
Brazil,Independence from Portugal,Independence,Transition to Empire of Brazil
Brazil,Abolition of Slavery,Legal,End of slavery in Brazil
Brazil,Proclamation of the Republic,Political,End of the Brazilian Empire and the start of the Republic
Brazil,Vargas Era Begins,Political,Start of Getúlio Vargas' rule
Brazil,Military Coup,Military Coup,Beginning of military dictatorship lasting until 1985
Brazil,Direct Elections Now Campaign,Political Movement,Nationwide protests for direct presidential elections
Brazil,Real Plan Implementation,Economic,Stabilization of Brazilian economy and introduction of the Real (R$)
Brazil,Lula da Silva's Presidency,Political,First workingUnknownclass president
Brazil,FIFA World Cup Victory,Sports,Brazil wins its first FIFA World Cup boosting national pride
Brazil,Construction of Brasília,Urban Development,Creation of a new capital aiming at interior development and national integration
Brazil,Tropicália Movement,Cultural,AvantUnknowngarde music and arts movement challenging traditional Brazilian culture
Brazil,Fernando Collor's Impeachment,Political,First Brazilian president to be impeached due to corruption charges
Brazil,Plano Real Economic Stabilization,Economic,Introduction of the Real (R$) to stabilize the Brazilian economy
Brazil,Rio Earth Summit,Environmental,International conference on environment and sustainability
Brazil,FHC Presidency (Fernando Henrique Cardoso),Political,Implementation of economic reforms and Plano Real
Brazil,Mensalão Scandal,Political Scandal,Major corruption scandal involving bribery and misuse of public funds
Brazil,Dilma Rousseff's Impeachment,Political,Second Brazilian president to be impeached accused of fiscal mismanagement
Brazil,Zika Virus Outbreak,Health,Major health crisis linked to birth defects sparking international concern
Brazil,Operation Car Wash (Lava Jato),Corruption Investigation,Extensive corruption investigation impacting politics and businesses
Brazil,Amazon Rainforest Wildfires,Environmental,International attention on Brazil's environmental policies and conservation efforts
Brazil,Bolsonaro Presidency Begins,Political,Marked by controversial environmental policies and conservative agenda
Germany,Foundation of the Holy Roman Empire,Political,Establishment of the Holy Roman Empire
Germany,The Investiture Controversy,Religious/Political,Conflict between the monarchy and the papacy over appointment of bishops
Germany,The Black Death in Europe,Pandemic,One of the most devastating pandemics in human history killing an estimated 25 million people in Europe
Germany,Martin Luther's 95 Theses,Religious,Initiated the Protestant Reformation
Germany,The Peace of Augsburg,Political,Allowed rulers to choose between Lutheranism and Catholicism leading to religious division
Germany,The Defenestration of Prague,Political,Triggered the Thirty Years' War
Germany,The Peace of Westphalia,Political,Ended the Thirty Years' War marking the beginning of the state system
Germany,The Foundation of the Kingdom of Prussia,Political,Establishment of Prussia as a kingdom leading to its rise as a major European power
Germany,The Seven Years' War,Military,Confirmed Prussia's status as a great European power shaping European geopolitics
Germany,The Partition of Poland,Political,Prussia acquired West Prussia
Germany,Napoleonic Wars and the Battle of Leipzig,Military,Decisive defeat of Napoleon's forces leading to his retreat from Germany
Germany,Congress of Vienna,Political,Redrew the map of Europe after the Napoleonic Wars stabilizing the continent
Germany,Revolutions of 1848 in the German states,Political/Social,Series of interconnected revolutions demanding national unification and liberal reforms
Germany,Unification of Germany,Political,Establishment of the German Empire under Prussian leadership
Germany,FrancoUnknownPrussian War,Military,Solidified German unification and shifted the balance of power in Europe
Germany,World War I,Military,Germany's defeat led to significant territorial losses and the Treaty of Versailles
Germany,Weimar Republic Established,Political,Transition from imperial to democratic governance though faced instability
Germany,Hyperinflation Crisis,Economic,Economic crisis causing severe inflation crippling the economy
Germany,Nazi Party's Rise to Power,Political,Adolf Hitler becomes Chancellor leading to totalitarian regime and WWII
Germany,Kristallnacht (Night of Broken Glass),Pogrom,Nationwide attack on Jewish people and properties
Germany,Beginning of World War II,Military,Invasion of Poland by Germany leading to global conflict
Germany,The Holocaust,Genocide,Systematic murder of six million Jews and millions of others
Germany,Battle of Stalingrad,Military,Turning point in WWII first major defeat of Nazi Germany
Germany,DUnknownDay (Normandy Landings),Military,Allied invasion of NaziUnknownoccupied Europe beginning of the end of WWII in Europe
Germany,Surrender of Nazi Germany,Military,End of World War II in Europe
Germany,Marshall Plan Aid,Economic,US financial aid for European recovery postUnknownWWII significantly aiding West Germany's recovery
Germany,Foundation of the Federal Republic of Germany (West Germany) and the German Democratic Republic (East Germany),Political,Division of Germany into East and West marking the start of the Cold War era
Germany,Construction of the Berlin Wall,Political,Physical division of East and West Berlin preventing East Germans from fleeing to the West
Germany,The Berlin Wall Falls,Political,Symbolic end of the Cold War leading to German reunification
Germany,German Reunification,Political,Reunification of East and West Germany into a single German state
Germany,Treaty on the Final Settlement with Respect to Germany,Political,Ended the Four Power rights and responsibilities for Germany and Berlin paving the way for German reunification
Germany,Establishment of the European,Political,The Maastricht Treaty laid the foundation for further European integration
Germany,Adoption of the Euro,Economic,Introduction of the Euro as the official currency replacing the Deutsche Mark
Germany,2006 FIFA World Cup,Sports,Hosted the FIFA World Cup showcasing Germany on the global stage
Germany,Refugee Crisis,Humanitarian,Germany opens its borders to a large number of refugees sparking debates on immigration policy
Argentina,May Revolution,Political,Beginning of the Argentine War for Independence from Spain
Argentina,Declaration of Independence,Independence,Formal declaration of independence from Spanish rule
Argentina,Conquest of the Desert,Military,Expansion into Patagonian territories displacing indigenous populations
Argentina,Immigration Wave to Argentina,Social,Significant European immigration shaping the cultural and demographic profile
Argentina,First Presidency of Juan Domin go Perón,Political,Implementation of social and economic reforms workers' rights enhancement
Argentina,The Dirty War,Political Repression,Period of state terrorism against suspected dissidents and subversives
Argentina,Falklands War,Military,Conflict with the UK over the Falkland Islands leading to Argentine defeat
Argentina,Return to Democracy,Political,End of military rule and restoration of democracy
Argentina,2001 Economic Crisis,Economic,Severe economic crisis leading to social unrest and governmental changes
Argentina,SameUnknownSex Marriage Law,Legal,First country in Latin America to legalize sameUnknownsex marriage
Argentina,Nationalization of YPF,Economic,Government takeover of YPF from Repsol
Argentina,1978 FIFA World Cup Victory,Sports,Argentina wins its first FIFA World Cup boosting national pride
Argentina,Economic Crisis and IMF Loan,Economic,Severe economic crisis leading to the largest IMF loan in history
Argentina,Jorge Mario Bergoglio becomes Pope Francis,Religious,First Pope from the Americas global impact on Catholic Church
Argentina,Cacerolazo Protests,Social Movement,Mass protests against the government's handling of the economic crisis
Argentina,Legalization of Abortion,Legal,Legalization of abortion up to the 14th week of pregnancy
Mexico,Establishment of the Olmec Civilization,Cultural,Development of the first major civilization in Mexico
Mexico,Founding of Teotihuacan,Urban Development,Rise of a major preUnknownColumbian city known for its pyramids
Mexico,Maya Civilization's Classical Period,Cultural,"Flourishing of Maya science, art and architecture affecting trade networks and political power"
Mexico,The Fall of Teotihuacan,Decline,Mysterious decline of a powerful city
Mexico,Founding of Tenochtitlán,Urban Development,Establishment of the Aztec capital foundation for future Mexico City
Mexico,Arrival of the Spanish and the Fall of Tenochtitlán,Conquest,Conquest of the Aztec Empire by Spanish forces
Mexico,Colonial Period Begins,Colonial,Start of Spanish colonial rule impacting culture society governance
Mexico,Mexican War of Independence Begins,Independence,Start of a war against Spanish rule leading to eventual independence
Mexico,Treaty of Córdoba,Independence,Formal independence from Spain recognized
Mexico,First Mexican Empire Declared,Political,Brief establishment of an empire soon transitioning to a republic
Mexico,U.S.UnknownMexican War,Military,Loss of vast territories to the United States
Mexico,Reform Wars,Civil War,Liberal vs. Conservative conflict leading to constitutional reforms
Mexico,French Intervention in Mexico,Military Intervention,Establishment and fall of the Second Mexican Empire
Mexico,Mexican Revolution,Revolution,Major revolution that transformed Mexican politics and society
