Title,Genre,Tags,Director
Fifty Shades of Grey,"Drama, Romance, Thriller","Romantic Favourites,Dramas based on a book,Romantic Films,Romantic Dramas,Dramas,Steamy Romance,Films Based on Books,Steamy Romantic Films",Sam Taylor-Johnson
My Golden Days,"Drama, Romance","Award-winning Movies,Dramas,Romantic Films,Romantic Dramas,French Dramas,French Movies,Romantic French Movies",Arnaud Desplechin
Jim Gaffigan: Obsessed,"Documentary, Comedy","Stand-up Comedy,TV Comedies,TV Programmes",Jay Chapman
Jim Gaffigan: King Baby,"Documentary, Comedy","Stand-up Comedy,Comedies",Troy Miller
Son of Saul,"Drama, War","International Dramas,Dramas,International Movies,Military Dramas,Eastern European Films",László Nemes
La maison du bonheur,Comedy,"Slapstick Comedies,Comedies",Dany Boon
The Intern,"Comedy, Drama","Comedies,US Movies",Nancy Meyers
Dheepan,"Crime, Drama","Dramas,International Dramas,International Movies,French Films,Crime Dramas",Jacques Audiard
Step Up Love Story,"Comedy, Romance","Romantic Comedies,Romantic Japanese Films,Romantic Films,Japanese Comedies,Comedies,Japanese Films",Kazuhiro Yokoyama
EDEN OF THE EAST,"Animation, Action, Comedy, Drama, Mystery, Romance, Thriller","Anime Action Films,Japanese TV Sci-Fi & Fantasy,Japanese TV Thrillers,Anime Sci-Fi & Fantasy,Anime Series,Anime",
Tom at the Farm,"Drama, Mystery, Thriller","International Movies,Thrillers,International Thrillers,LGBTQ Movies,Canadian Movies",Xavier Dolan
Stray Dogs,"Short, Action, Comedy, Drama","Japanese Thrillers,Dramas,Japanese Films,Japanese Dramas,Thrillers,Crime Thrillers,Crime Dramas",Minka Farthing-Kohl
Vicky and the Treasure of the Gods,"Action, Adventure, Comedy, Family","Films for ages 8 to 10,Action Comedies,International Movies,Films for ages 5 to 7,Children & Family Films,European Movies,Family Features,Comedies,International Comedies,Films based on childrens books,Films Based on Books,Family Comedies,Family Adventures",Christian Ditter
Jinro Game: Beast Side,Thriller,"Japanese Films,Japanese Thrillers,Thrillers,Horror Films,Japanese Horror Films",Izuru Kumasaka
The Lobster,"Comedy, Drama, Romance, Sci-Fi, Thriller","Comedies,Romantic Favourites,Sci-Fi & Fantasy,Art House Films,Romantic Comedies,Romantic Films,Dark Comedies,Greek Movies,International Comedies",Yorgos Lanthimos
Brooklyn,"Drama, Romance","Romantic Favourites,British Dramas,Dramas based on a book,20th Century Period Pieces,Romantic Dramas,British Films,Dramas,Romantic Films,Irish Films,International Dramas,Films Based on Books",John Crowley
The Little Prince,"Animation, Adventure, Drama, Family, Fantasy","Family Features,Family Feature Animation,Films for ages 8 to 10,Children & Family Films,Films based on childrens books,Family Sci-Fi & Fantasy,Family Adventures,Films Based on Books",Mark Osborne
David Cross: Making America Great Again!,Comedy,"Stand-up Comedy,Political Comedies,Comedies,Dark Comedies,Talk Shows & Stand-up Comedy",Alex Coletti
Friend: The Great Legacy,"Action, Drama","Crime Dramas,International Action & Adventure,International Dramas,Action & Adventure,International Movies,Dramas,Crime Action & Adventure,Asian Movies,Asian Action Films",Kyung-taek Kwak
The Lady in the Van,"Biography, Comedy, Drama","Dramas based on real life,Dramas,British Films,Comedies,Films Based on Real Life,Critically Acclaimed Films,Critically Acclaimed Dramas,Critically Acclaimed Comedies",Nicholas Hytner
Beat Bugs,"Animation, Short, Adventure, Comedy, Family, Fantasy, Musical","Education & Guidance,Kids Music,TV Cartoons,Kids TV,TV Programmes",
Blackhat,"Action, Crime, Thriller","Action Thrillers,Dramas,Action & Adventure",Michael Mann
The Theory of Everything,"Biography, Drama, Romance","Dramas,Dramas based on real life,Romantic Dramas,Romantic Films,Films Based on Real Life,Romantic Favourites,Historical Dramas,Historical Movies,US Movies,Award-winning Dramas,Critically Acclaimed Films,Critically Acclaimed Dramas,Oscar-Winning Films,Golden Globe Award-Winning Films",James Marsh
The Peanuts Movie,"Animation, Comedy, Family","Films for ages 2 to 4,Action Comedies,Children & Family Films,Family Feature Animation,Family Features,Family Adventures,Films for ages 5 to 7,Family Comedies,Comedies",Steve Martino
Natural Born Monsters,Reality-TV,"Documentaries,TV Programmes,Nature & Ecology TV Documentaries,TV Documentaries,Science & Nature Documentaries,Nature & Ecology Documentaries,Science & Nature TV,US TV Programmes",
Victor Frankenstein,"Drama, Horror, Sci-Fi, Thriller","Sci-Fi & Fantasy,Supernatural Thrillers,Thrillers,Fantasy,Sci-Fi Horror Films,Sci-Fi Thrillers,Horror Films,Supernatural Horror Films,Sci-Fi Dramas,Period Pieces,Films Based on Books",Paul McGuigan
The Jewel of the Nile,"Action, Adventure, Comedy, Romance","Comedies,Romantic Films,Romantic Comedies,Action & Adventure,Romantic Favourites,Adventures,Comedy Blockbusters,US Movies",Lewis Teague
Interview with a Serial Killer,"Short, Thriller","Crime Documentaries,Documentaries,Crime Films,Biographical Documentaries,True Crime Documentaries,US Movies,Documentaries",Kevin Hill
El cumple de la abuela,Comedy,"Mexican Films,Comedies,Latin American Films,Latin American Comedies,Mexican Comedies",Javier Colinas
The Wedding Planner,"Comedy, Romance","Comedies,Romantic Comedies,Romantic Films,Romantic Favorites,Romantic Favorites",Adam Shankman
Fathers and Daughters,Drama,"Dramas,Tearjerkers",Gabriele Muccino
State of Play,"Crime, Drama, Mystery, Thriller","Dramas,Mysteries,Crime Films,Thrillers,Political Dramas,Crime Thrillers,Crime Dramas,Political Thrillers,US Movies",Kevin Macdonald
The Green Inferno,"Adventure, Horror","Horror Films,Independent Films,Gory Horror Films",Eli Roth
The Stool Pigeon,"Action, Drama, Thriller","Action & Adventure,International Action & Adventure,International Movies,Crime Action & Adventure,Action Thrillers,Asian Action Films,Asian Movies,Chinese Movies,Crime Movies,Hong Kong Movies",Dante Lam
Acappella,Drama,"Steamy Dramas,Romantic Films,Dramas based on a book,Dramas,Romantic Japanese Films,Romantic Dramas,Japanese Dramas,Romantic Films based on a book,Japanese Films,Steamy Romance",Hiroshi Ando
Cocaine,Documentary,"Documentaries,TV Programmes,Social & Cultural Documentaries,British TV Programmes,Crime Documentaries,Docuseries",
La Esclava Blanca,History,"TV Dramas,Latin American TV Shows,TV Soaps,TV Programmes,Period Pieces,Social Issue TV Dramas,Colombian TV Shows,Colombian TV Shows",
Holding the Man,"Biography, Drama, Romance","Dramas,Dramas based on a book,Biographical Dramas,Romantic Dramas,Dramas based on real life,Romantic Films,Australian Films,Films Based on Books,Films Based on Real Life,LGBTQ Films,LGBTQ Dramas,Steamy Romance,Romantic LGBTQ Movies",Neil Armfield
Obsession: Dark Desires,"Documentary, Crime, Drama","US TV Programmes,TV Programmes,Documentaries,TV Programmes,Documentaries,US TV Programmes,Crime Documentaries,Docuseries,True Crime Documentaries",
The Prince Who Turns into a Frog,"Comedy, Drama, Romance","TV Dramas,TV Comedies,TV Programmes,Romantic TV Comedies,Romantic TV Dramas,Chinese  Programmes,Taiwanese TV Programmes",
U.S. Marshals,"Action, Crime, Thriller","Crime Films,Action Thrillers,Action & Adventure,Crime Action & Adventure,Action & Adventure,Crime Action & Adventure,Crime Films,Action Thrillers",Stuart Baird
Miss Rose,"Comedy, Romance","TV Programmes,TV Comedies,Romantic TV Comedies,Chinese  Programmes,Taiwanese TV Programmes",
Youre My Destiny,"Comedy, Romance","TV Programmes,TV Comedies,Romantic TV Comedies,Chinese  Programmes,Taiwanese TV Programmes",
Queen of No Marriage,Romance,"TV Programmes,TV Comedies,TV Dramas,Romantic TV Comedies,Romantic TV Dramas,Chinese  Programmes,Taiwanese TV Programmes",
Office Girls,Romance,"TV Programmes,TV Comedies,TV Comedies,TV Programmes,Romantic TV Comedies,Chinese  Programmes,Taiwanese TV Programmes",
Real Crime: Diamond Geezers,"Documentary, Crime","Gangster Films,Documentaries,Heist Films,Crime Films,British Crime Films,Crime Documentaries,British Films,True Crime Documentaries,Documentaries",Tom Whitter
Edge of the Universe,"Documentary, Family","Science & Nature Documentaries,Documentaries,TV Programmes,British TV Programmes,Docuseries,Science & Nature TV",Yavar Abbas
Fifty Shades of Black,Comedy,"Romantic Comedies,Comedies,Dark Comedies,Romantic Films,Spoofs & Satires,Late Night Comedies,Laugh-Out-Loud Comedies",Michael Tiddes
Home,"Drama, Horror, Thriller","TV Cartoons,TV Comedies,TV Programmes,Kids TV,TV Animated Comedies",Frank Lin
Last Chance U,"Documentary, Sport","Documentaries,Sports Documentaries,TV Programmes",
Tallulah,"Comedy, Drama, Romance","Independent Dramas,Dramas,Independent Films",Sian Heder
Mad Max,"Action, Adventure, Sci-Fi, Thriller","International Movies,Action Sci-Fi & Fantasy,Australian Films,Classic Films,Critically-acclaimed Sci-Fi & Fantasy,Sci-Fi & Fantasy,Critically-acclaimed Action & Adventure,Critically-acclaimed Films,Action & Adventure,Cult Sci-Fi & Fantasy,Cult Movies,Classic Action & Adventure,Classic Sci-Fi & Fantasy,Futuristic Sci-Fi",George Miller
Ghost Ship,Horror,"Supernatural Horror Films,Horror Films,US Movies,Gory Horror Films,Chilling Horror Films",Steve Beck
Black Mass,"Biography, Crime, Drama","Dramas,Crime Films based on real life,Dramas based on real life,Crime Films,Gangster Films,Biographical Dramas,Dramas based on a book,Crime Dramas,Movies Based on Real Life,Movies Based on Books",Scott Cooper
Rise of the Legend,"Action, Biography, Drama","Martial Arts Films,Crime Dramas,Asian Action Films,Dramas,Action & Adventure,Gangster Films,Crime Action & Adventure,Chinese Movies,Crime Movies,Period Pieces,International Action & Adventure,International Dramas",Roy Hin Yeung Chow
Paper Planes,"Drama, Family","Family Features,Children & Family Films,Films for ages 8 to 10,Comedies,Australian Films,Family Comedies,Family Dramas,Dramas",Robert Connolly
My All American,"Biography, Drama, Sport","Sports Dramas,Dramas based on real life,Dramas,Dramas based on a book,Movies Based on Real Life,Movies Based on Books,Historical Dramas",Angelo Pizzo
The Wave,"Drama, Thriller","Action Thrillers,Scandinavian Films,Action & Adventure,International Action & Adventure,International Movies,International Dramas,Dramas,Norwegian Films",Roar Uthaug
Fist of the North Star,"Animation, Action, Drama, Fantasy","Anime Series,Martial Arts Films,Anime,Japanese TV Films,Anime Action Films,Retro Anime",Toyoo Ashida
Slam Dunk,"Animation, Comedy, Drama, Sport","Japanese TV Films,Anime Comedies,Anime Dramas,Anime Series,Anime",
Uncle,Comedy,"British TV Programmes,British TV Comedies,TV Programmes,Sitcoms,TV Comedies",
Unbroken,"Action, Biography, Drama, Sport, War","Action & Adventure,Dramas,Dramas based on a book,Dramas based on real life,Military & War Movies,Military Dramas,Military Action & Adventure,Films Based on Real Life,Films Based on Books,US Movies",Angelina Jolie
Desperado,"Action, Crime, Thriller","Action Thrillers,Action & Adventure",Robert Rodriguez
The Mirror Has Two Faces,"Comedy, Drama, Romance","Comedies,Romantic Favourites,Romantic Comedies,Romantic Films,Romantic Dramas,Dramas,US Movies",Barbra Streisand
"The Foreign Duck, the Native Duck and God",Drama,"Dramas based on a book,Mysteries,Japanese Films,Dramas,Japanese Dramas",Yoshihiro Nakamura
Guilty Crown,"Animation, Action, Romance, Sci-Fi","Japanese TV Films,Anime Sci-Fi & Fantasy,Anime,Anime Action Films,Japanese TV Sci-Fi & Fantasy,Anime Series,Futuristic Sci-Fi,Cyberpunk",
Erased,"Animation, Drama, Fantasy, Mystery, Sci-Fi, Thriller","Anime Series,Japanese TV Films,Anime,Japanese TV Thrillers,TV Thrillers,TV Shows Based on Manga,Mystery & Thriller Anime,Seinen Anime",
English Vinglish,"Comedy, Drama, Family","International Movies,Dramas,Comedies,International Comedies,International Dramas",Gauri Shinde
The In-Laws,"Action, Comedy, Thriller","Comedies,Spy Action & Adventure,Action Comedies,Action & Adventure",Andrew Fleming
"Margarita, with a Straw",Drama,"Romantic Dramas,Independent Dramas,International Dramas,Independent Films,Gay & Lesbian Dramas,Romantic Gay & Lesbian Films,Gay & Lesbian Films,Romantic Films,Romantic Independent Films,International Movies,Dramas,Indian Movies,Critically-acclaimed Independent Movies,Critically Acclaimed Films,Critically Acclaimed Dramas","Shonali Bose, Nilesh Maniyar"
poldark,"Drama, History, Romance","TV Programmes,TV Dramas,Period Pieces,British Period Pieces,Romantic TV Dramas,British TV Shows,TV Shows Based on Books",
Tony Robbins: I Am Not Your Guru,Documentary,Documentaries,Joe Berlinger
Stranger Things,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller","TV Thrillers,TV Sci-Fi & Fantasy,TV Programmes,US TV Programmes",
Rebirth,Thriller,"Thrillers,Psychological Thrillers,Dramas",Karl Mueller
Alvinnn!!! And the Chipmunks,"Animation, Comedy, Drama, Family, Music","Kids TV,TV Programmes,TV Cartoons,Animal Tales",
Lusers,"Adventure, Comedy","Sports Comedies,Comedies,Chilean Films,Sports Films",Ticoy Rodriguez
Holidays,"Fantasy, Horror, Mystery","Horror Films,Comedies,Dark Comedies,Romantic Favourites,Horror Comedy","Nicholas McCarthy, Adam Egypt Mortimer, Kevin Smith, Sarah Adina Smith, Kevin Kölsch, Gary Shore, Anthony Scott Burns, Scott Stewart, Dennis Widmyer"
Colonia,Documentary,"Independent Films,Dramas,Thrillers,Independent Thrillers,Independent Dramas,Romantic Movies,German Movies",Diego Frangi
Gridlocked,Action,Action & Adventure,Allan Ungar
Marguerite and Julien,"Drama, History, Romance","Dramas,Independent Films,Romantic Independent Films,Romantic Dramas,Romantic Films,Independent Dramas,French Dramas,French Movies,Romantic French Movies,Historical Dramas",Valérie Donzelli
London Has Fallen,"Action, Thriller","Action & Adventure,Action Thrillers,Action Movies,Blockbuster Action & Adventure",Babak Najafi
Summer of 92,"Biography, Comedy, Drama, Sport","Comedies,Dramas,International Dramas,Sports Films,Sports Dramas,International Movies,Scandinavian Films,Dramas based on real life,Sports Comedies,International Comedies,Movies Based on Real Life,Danish Movies",Kasper Barfoed
Alpha and Omega: Dino Digs,"Animation, Adventure, Comedy, Family, Fantasy","Films for ages 2 to 4,Children & Family Films,Films for ages 5 to 7,Family Adventures,Animal Tales",Tim Maltby
100 Yen Love,"Comedy, Drama","Sports Dramas,Dramas,Japanese Dramas,Japanese Films",Masaharu Take
The Hateful Eight,"Crime, Drama, Mystery, Thriller, Western","Adventures,Action & Adventure,Period Pieces,Westerns,Crime Movies,Thriller Movies,Crime Thrillers",Quentin Tarantino
Word Party,"Animation, Family","TV Cartoons,TV Programmes,Kids TV,Kids Music,Education & Guidance",
The Invitation,"Drama, Mystery, Thriller","Independent Films,Psychological Thrillers,Thrillers,Horror Films,Independent Thrillers",Karyn Kusama
NSU German History X,"Crime, Drama","TV Programmes,Miniseries,TV Dramas,Crime TV Programmes,Crime TV Dramas,German TV Shows,Social Issue TV Dramas",
Brahman Naman,Comedy,"Late Night Comedies,International Movies,Independent Comedies,International Comedies,Comedies,Independent Films,Indian Films",Qaushiq Mukherjee
Princess Jellyfish,"Comedy, Romance","Japanese Comedies,Youth Drama,Romantic Japanese Films,Teen Romance,Dramas,Japanese Films,Comedies,Japanese Dramas,Romantic Comedies,Romantic Films,Romantic Dramas",Taisuke Kawamura
Roger Waters The Wall,"Documentary, Music","Rock & Pop,British Films,Music,Music & Concert Documentaries,Rockumentaries,Documentaries","Sean Evans, Roger Waters"
The Heat,"Action, Comedy, Crime","Comedies,Action & Adventure,Action Comedies,Crime Action & Adventure,Blockbuster Action & Adventure,Comedy Blockbusters,US Movies,Crime Comedies,Crime Films",Paul Feig
No Good Deed,Thriller,"Psychological Thrillers,Crime Thrillers,Thrillers,Crime Films,US Movies",Sam Miller
Limitless,"Comedy, Crime, Drama, Sci-Fi, Thriller","Crime TV Dramas,TV Programmes,Crime TV Programmes,TV Dramas,US TV Shows,Sci-Fi TV",
Speed 2: Cruise Control,"Action, Adventure, Crime, Romance, Thriller","Crime Action & Adventure,Action Thrillers,Action & Adventure,Blockbuster Action & Adventure,US Movies",Jan de Bont
Crazy Ex-Girlfriend,"Comedy, Musical","TV Programmes,Romantic Favourites,US TV Comedies,US TV Programmes,TV Comedies,Romantic TV Comedies,Music & Musicals",
Jim Jefferies: Freedumb,Comedy,"Comedies,Stand-up Comedy,Dark Comedies",Ryan Polito
Marcella,"Crime, Drama, Mystery","TV Dramas,British TV Dramas,Crime TV Programmes,TV Programmes,British TV Programmes,Crime TV Dramas",
Toast of London,Comedy,"British TV Programmes,TV Comedies,TV Programmes,Sitcoms",
En Immersion,"Action, Crime","TV Programmes,TV Thrillers,TV Dramas,Crime TV Dramas,French TV Shows",
Midnight Diner,"Comedy, Drama","Japanese TV Dramas,Japanese TV Films,TV Dramas,TV Shows Based on Manga,TV Shows Based on Comics",Joji Matsuoka
Little Forest,Drama,"Japanese Dramas,Dramas,Japanese Films",Jun'ichi Mori
Ooku,"Drama, History","Japanese Films,Romantic Japanese Films,Dramas,Japanese Period Dramas,Romantic Films,Dramas based on real life,Romantic Dramas,Japanese Dramas,Political Dramas,Period Pieces",
Our Little Sister,"Drama, Family","Dramas,Japanese Films,Japanese Dramas",Hirokazu Koreeda
Terrace House: Closing Door,"Drama, Reality-TV",Japanese Films,Masato Maeda
Once in a Blue Moon,,"Japanese Films,Japanese Comedies,Wacky Comedies,Comedies",
Billions,Drama,"US TV Programmes,International TV Dramas,International TV Shows,Drama Programmes",
The Liar and His Lover,Romance,"Teen Romance,Romantic Films,Romantic Japanese Films,Japanese Films",Norihiro Koizumi
Nodame Cantabile: The Movie I,"Comedy, Drama, Music","Japanese Films,Romantic Comedies,Romantic Films,Romantic Japanese Films,Japanese Comedies,Comedies",Hideki Takeuchi
Beauty and the Beast,"Drama, Family, Fantasy, Romance, Thriller","Dramas,Fantasy,Romantic Films,International Movies,Sci-Fi & Fantasy,Romantic Dramas,European Movies,International Sci-Fi & Fantasy,Romantic International Movies,International Dramas,Movies Based on Books,French Movies",Christophe Gans
Poison Berry in My Brain,Comedy,"Comedies,Japanese Comedies,Romantic Japanese Films,Romantic Films,Romantic Comedies,Japanese Films",Yûichi Satô
Liar Game: Reborn,Drama,"Dramas,Mysteries,Japanese Films,Thrillers,Japanese Dramas,Japanese Thrillers",Hiroaki Matsuyama
Liar Game: The Final Stage,"Drama, Thriller","Japanese Films,Mysteries,Dramas,Japanese Thrillers,Japanese Dramas,Thrillers",Hiroaki Matsuyama
Pandemic,"Action, Horror, Sci-Fi, Thriller","Action Thrillers,Sci-Fi Thrillers,Action Sci-Fi & Fantasy,Sci-Fi & Fantasy,Action & Adventure,Action Movies",John Suits
My Suicide,"Short, Drama, Fantasy","Independent Dramas,Dramas,Dark Comedies,Independent Films,Independent Comedies,Comedies",Robert Hutt
Deliverance,"Adventure, Drama, Thriller","Action Thrillers,Dramas based on classic literature,Crime Dramas,Dramas based on a book,Action & Adventure,Adventures,Dramas,Crime Action & Adventure,Crime Movies,Thriller Movies,Movies Based on Books,Crime Thrillers,Classic Dramas,Classic Movies,Classic Thrillers",John Boorman
The Shannara Chronicles,"Adventure, Fantasy, Sci-Fi","TV Sci-Fi & Fantasy,TV Action & Adventure,TV Dramas,TV Programmes,US TV Shows,Fantasy TV Shows,TV Shows Based on Books",
Nodame Cantabile: The Movie II,"Comedy, Drama, Music","Japanese Films,Romantic Comedies,Romantic Films,Romantic Japanese Films,Japanese Comedies,Comedies","Hideki Takeuchi, Yasuhiro Kawamura"
Crô: O Filme,Comedy,"Brazilian Comedies,Comedies,Brazilian Films,LGBTQ Films,LGBTQ Comedies",Bruno Barreto
Bill Hicks: Revelations,"Documentary, Comedy","Dark Comedies,Political Comedies,Stand-up Comedy,Talk Shows & Stand-up Comedy,Comedies,British Comedies,Irreverent Stand-up Comedy",Chris Bould
Sam Kinison: Family Entertainment Hour,"Documentary, Comedy, Music","Dark Comedies,Talk Shows & Stand-up Comedy,Stand-up Comedy,Comedies,Irreverent Stand-up Comedy",Walter C. Miller
Suicide (Hitabdut),"Action, Crime, Thriller","Crime Thrillers,Police Movies,Gangster Films,Police Thrillers,Thrillers,International Movies",Benny Fredman
Eastsiders,Drama,"TV Programmes,US TV Programmes,TV Dramas,TV Comedies",
Buddies,"Adventure, Comedy, Drama","Independent Comedies,Independent Dramas,Latin American Comedies,Latin American Dramas,Brazilian Films,Independent Films,Dramas,Latin American Films,Comedies,Brazilian Dramas,Brazilian Comedies,International Comedies,International Dramas",Marcelo Galvão
You Carry Me,"Action, Drama","International Movies,International Dramas,Dramas",Ivona Juka
Road to Yesterday,"Drama, Romance, Thriller","International Movies,International Dramas,Dramas,African Films",Ishaya Bako
X: Past Is Present,"Drama, Mystery, Romance","International Movies,Steamy Romantic Films,International Dramas,Romantic Dramas,Dramas,Romantic Films,Bollywood Movies,Independent Movies,Indian Movies,Steamy Romance,Hindi-Language Movies,Romantic Independent Movies","Sudhish Kamath, Abhinav Shiv Tiwari, Rajshree Ojha, Anu Menon, Qaushiq Mukherjee, Pratim D. Gupta, Hemant Gaba, Raja Sen, Sandeep Mohan, Nalan Kumarasamy, Suparn Verma"
3096 Tage,"Biography, Crime, Drama","Dramas based on a book,German Films,International Dramas,International Movies,Biographical Dramas,Dramas,Dramas based on real life,Films Based on Real Life,Crime Films,Crime Dramas,Independent Films,Films Based on Books",Sherry Hormann
Life,"Biography, Drama","Independent Films,Independent Dramas,Dramas based on real life,Dramas,Showbiz Dramas,Biographical Dramas",Anton Corbijn
A Very Secret Service,Comedy,"TV Comedies,TV Programmes",
Talk to Her,"Drama, Mystery, Romance","Romantic Dramas,Romantic Films,Dramas,Steamy Dramas,Steamy Romance,Spanish Movies,Romantic Favorites",Pedro Almodóvar
We Are Marshall,"Drama, Sport","Sports Dramas,Dramas,Dramas based on real life,Films Based on Real Life,Sports Films,US Movies",McG
Pale Moon,Drama,"Japanese Thrillers,Dramas,Thrillers,Japanese Films,Crime Thrillers,Dramas based on a book,Crime Dramas,Japanese Dramas",Daihachi Yoshida
Helios,"Action, Adventure, Crime, Fantasy, Thriller","Asian Action Films,Crime Action & Adventure,Action & Adventure,Action Thrillers,Chinese Films,Hong Kong Films,Police Action & Adventure,Police Movies,International Action & Adventure,Crime Movies","Lok Man Leung, Kim-Ching Luk"
Kahlil Gibrans The Prophet,"Animation, Drama","Family Features,Children & Family Films,Family Feature Animation,Dramas,Movies Based on Books,Canadian Movies","Michal Socha, Paul Brizzi, Gaëtan Brizzi, Bill Plympton, Roger Allers, Tomm Moore, Joann Sfar, Joan C. Gratz, Nina Paley, Mohammed Saeed Harib"
Miss You Already,"Comedy, Drama, Romance","Comedies,Romantic Dramas,Dramas,Romantic Films,Romantic Comedies,Tearjerkers,British Dramas,Independent Movies,British Movies",Catherine Hardwicke
10 Years,"Comedy, Drama, Romance","Independent Films,Dramas,Comedies,Romantic Dramas,Independent Dramas,Independent Comedies,Romantic Independent Films,Romantic Films,Romantic Comedies",Jamie Linden
Backtrack,"Drama, Fantasy, Mystery, Thriller","Supernatural Thrillers,Psychological Thrillers,Australian Films,Dramas,Mysteries,Thrillers",Michael Petroni
Trumbo,"Biography, Crime, Drama","Dramas based on real life,Dramas,Showbiz Dramas,Dramas based on a book,Political Dramas,Films Based on Real Life,Social Issue Dramas,Independent Films,Films Based on Books",Jay Roach
Justin Time GO!,"Animation, Adventure, Family","Kids TV,TV Programmes,Education & Guidance,TV Cartoons,Canadian TV Shows",
The Fundamentals of Caring,"Comedy, Drama","Dramas based on a book,Comedies,Independent Dramas,Independent Comedies,Dramas,Dark Comedies,Independent Films,Films Based on Books",Rob Burnett
Off Camera,Talk-Show,"TV Programmes,TV Variety & Talk Shows,US TV Shows,Talk Shows",
Coming Home,"Drama, Romance","International Movies,International Dramas,Dramas,Dramas based on a book,Chinese Films,Films Based on Books,Mainland Chinese Movies",Yimou Zhang
Extraction,"Action, Thriller","Action Thrillers,Action & Adventure",Steven C. Miller
When the Game Stands Tall,"Biography, Drama, Family, Sport","Dramas,Dramas based on a book,Sports Films,Films Based on Books,Sports Dramas",Thomas Carter
Deliver Us from Evil,"Action, Adventure, Biography, Crime, Fantasy, Horror, Mystery, Thriller","Supernatural Horror Films,Horror Films,Films Based on Books,Crime Movies",Scott Derrickson
The Equalizer,"Action, Crime, Thriller","Action & Adventure,Action Thrillers,Crime Films,Crime Action & Adventure,Gangster Films,US Movies,Action Movies",Antoine Fuqua
Pan,"Adventure, Comedy, Family, Fantasy","Adventures,Action Sci-Fi & Fantasy,Sci-Fi & Fantasy,Children & Family Films,Family Features,Fantasy,Action & Adventure,Films based on childrens books,Films Based on Books,Family Sci-Fi & Fantasy,Family Adventures",Joe Wright
Spotlight,"Biography, Crime, Drama","Crime Dramas,Dramas based on real life,Dramas,Films Based on Real Life,Social Issue Dramas,Crime Films,Independent Films",Tom McCarthy
The Last Witch Hunter,"Action, Adventure, Fantasy","Action & Adventure,Fantasy,Action Sci-Fi & Fantasy,Adventures,Sci-Fi & Fantasy,US Movies",Breck Eisner
BUNKD,"Comedy, Family","TV Comedies,Kids TV for ages 5 to 7,Kids TV for ages 8 to 10,Kids TV,Sitcoms,Disney,TV Programmes",
Ip Man 3,"Action, Biography, Drama, History","Chinese Films,International Action & Adventure,Action & Adventure,International Movies,Crime Action & Adventure,Asian Movies,Dramas,Martial Arts Films,Gangster Films,International Dramas,Crime Dramas,Hong Kong Films,Crime Movies,Asian Action Movies,Action Movies,Crime Action",Wilson Yip
The Big Short,"Biography, Comedy, Drama, History","Dramas,Dramas based on a book,Dark Comedies,Dramas based on real life,Comedies,Films Based on Real Life,Social Issue Dramas,Films Based on Books",Adam McKay
The Man from U.N.C.L.E.,"Action, Adventure, Comedy","Crime Comedies,Comedies,Action & Adventure,Gangster Films,Crime Films,Crime Action & Adventure,Action Comedies,Adventures,Spy Action & Adventure",Guy Ritchie
Fury,"Action, Drama, War","Action & Adventure,Military Action & Adventure,Military Dramas,Dramas,Blockbuster Action & Adventure,US Movies",David Ayer
The Dark House,"Crime, Drama, Thriller","Thrillers,International Movies,Psychological Thrillers,Movies Based on Books,Dutch Movies",Wojciech Smarzowski
Outbreak,"Action, Drama, Thriller","Action & Adventure,Sci-Fi Thrillers,Action Thrillers,Action Sci-Fi & Fantasy,Sci-Fi & Fantasy,Blockbuster Action & Adventure",Wolfgang Petersen
Matchstick Men,"Comedy, Crime, Drama, Thriller","Crime Films,Crime Comedies,Dramas based on a book,Crime Dramas,Dramas,Comedies,Dark Comedies,Movies Based on Books,US Movies",Ridley Scott
Standoff,"Drama, Thriller","Action & Adventure,Crime Action & Adventure,Action Thrillers,Crime Films",Adam Alleca
Voltron: Legendary Defender,"Animation, Action, Adventure, Comedy, Drama, Family, Fantasy, Sci-Fi","TV Programmes,Kids TV,TV Cartoons",
Norm of the North,"Animation, Adventure, Comedy, Family","Films for ages 5 to 7,Family Adventures,Children & Family Films,Animal Tales,Films for ages 2 to 4,Family Comedies",Trevor Wall
Dirty Grandpa,Comedy,"Comedies,Dark Comedies,Late Night Comedies",Dan Mazer
The Treasure,Comedy,"Comedies,Dark Comedies",Corneliu Porumboiu
Hero Quest,"Animation, Adventure, Fantasy","Films for ages 8 to 10,Children & Family Films,Family Adventures,Family Sci-Fi & Fantasy,Russian Movies",Maksim Fadeev
Paranormal Activity 5,"Horror, Mystery","Thrillers,Supernatural Thrillers,Horror Films,Supernatural Horror Films",Gregory Plotkin
Lucy,"Action, Sci-Fi, Thriller","Action Sci-Fi & Fantasy,Adventures,Sci-Fi & Fantasy,Crime Action & Adventure,International Movies,French Films,Action & Adventure,Sci-Fi Adventure,Gangster Films,Sci-Fi Thrillers,International Action & Adventure,International Sci-Fi & Fantasy,Action Thrillers,Crime Movies,Crime Action,Action Movies",Luc Besson
Bo Burnham: Make Happy,"Comedy, Music","Comedies,Stand-up Comedy,Talk Shows & Stand-up Comedy","Bo Burnham, Christopher Storer"
Snowtime!,"Animation, Comedy, Drama, Family","Films for ages 8 to 10,Films for ages 11 to 12,Canadian Films,Children & Family Films","Jean-François Pouliot, François Brisson"
