Title,Director,Cast
L'homme qui aimait les femmes,François Truffaut,"Charles Denner, Brigitte Fossey, Nelly Borgeaud, Geneviève Fontanel, Leslie Caron, Nathalie Baye, Valérie Bonnier, Jean Dasté, Sabine Glaser, Henri Agel, Chantal Balussou, Nella Barbier, Anne Bataille, Martine Chassaing, Ghylaine Dumas, Monique Dury, Michele Gonsalvez, Sabine Guilleminot"
Yellow Sky,William A. Wellman,"Gregory Peck, Anne Baxter, Richard Widmark, Robert Arthur, John Russell, Harry Morgan, James Barton, Charles Kemper, Carlos Acosta, Robert Adler, Ray Beltram, Harry Carter, William Gould, Eula Guy, Paul Hurst, Victor Kilian, Norman Leavitt, Jay Silverheels"
Lootera,Vikramaditya Motwane,"Ranveer Singh, Sonakshi Sinha, Barun Chanda, Adil Hussain, Vikrant Massey, Dibyendu Bhattacharya, Arif Zakaria, Pratap Jaiswal, Shirin Guha, Swachata Sanjiban Guha, Divya Dutta, Palan Kundu, Anirban Basu, Amit Saha, Dhruv Mookerji, Newton, Govind Pandey, Kodamath Saha"
Organize Isler,Yilmaz Erdogan,"Yilmaz Erdogan, Tolga Çevik, Demet Akbag, Altan Erkekli, Özgü Namal, Cem Yilmaz, Basak Köklükaya, Berfin Erdogan, Erdal Tosun, Tuncer Salman, Ebru Akel, Ezgi Mola, Öner Erkan, Ersin Korkut, Salih Kalyon, Cezmi Baskin, Nazmi Kirik, Deniz Erdogan"
Ariel,Aki Kaurismäki,"Turo Pajala, Susanna Haavisto, Matti Pellonpää, Eetu Hilkamo, Erkki Pajala, Matti Jaaranen, Hannu Viholainen, Jorma Markkula, Tarja Keinänen, Eino Kuusela, Kauko Laalo, Jyrki Olsonen, Esko Nikkari, Marja Packalén, Mikko Remes, Tomi Salmela, Reijo Marin, Heikki Salomaa"
Downfall: The Case Against Boeing,Rory Kennedy,"Donald Trump, Maria Bartiromo, Lester Holt, Kevin Carney, Peter Jennings, Ted Cruz, Chesley Sullenberger, Richard Engel, John Cox, Richard Blumenthal, Elaine Chao, Alan Mulally, Zipporah Kuria, John Seigenthaler, Richard Reed, Andy Pasztor, Harry Stonecipher, Peter A. DeFazio"
Trollflöjten,Ingmar Bergman,"Ulrik Cold, Josef Köstlinger, Irma Urrila, Håkan Hagegård, Elisabeth Erikson, Britt-Marie Aruhn, Kirsten Vaupel, Birgitta Smiding, Birgit Nordin, Ragnar Ulfung, Erik Sædén, Ulf Johansson, Gösta Prüzelius, Jerker Arvidson, Hans Dornbusch, Erland von Heijne, Ansgar Krook, Urban Malmberg"
Kiseki,Hirokazu Koreeda,"Kôki Maeda, Ôshirô Maeda, Ryôga Hayashi, Seinosuke Nagayoshi, Kyara Uchida, Kanna Hashimoto, Rento Isobe, Nene Ôtsuka, Joe Odagiri, Yui Natsukawa, Masami Nagasawa, Hiroshi Abe, Yoshio Harada, Kirin Kiki, Isao Hashizume, Shunsuke Godai, Masahito Irie, Lily"
Vaioretto evâgâden gaiden: Eien to jidô shuki ningyô,Haruka Fujita,"Yui Ishikawa, Minako Kotobuki, Aoi Yûki, Takehito Koyasu, Kôki Uchiyama, Aya Endô, Minori Chihara, Haruka Tomatsu, Bob Buchholz, Kira Buckland, Reba Buhr, Christine Marie Cabanos, Dorothy Elias-Fahn, Doug Erholtz, Sandy Fox, Erika Harlacher, Riki Kagami, Yuka Keicho"
Hum Dil De Chuke Sanam,Sanjay Leela Bhansali,"Aishwarya Rai Bachchan, Salman Khan, Ajay Devgn, Zohra Sehgal, Vikram Gokhale, Smita Jaykar, Rekha Rao, Rajeev Verma, Kenneth Desai, Ghanshyam Nayak, Vinay Pathak, Sheeba Chaddha, Meenakshi Verma, Preeti Koppikar, Divya Jagdale, Kannu Gill, Ehsan Khan, Atul Kumar Mittal"
Matando Cabos,Alejandro Lozano,"Tony Dalton, Ana Claudia Talancón, Pedro Armendáriz Jr., Kristoff Raczynski, Raúl Méndez, Joaquín Cosio, Gustavo Sánchez Parra, Rocío Verdejo, Silverio Palacios, Jacqueline Voltaire, Pedro Altamirano, Norman Sotolongo, Jose Angel Bichir, Alejandro Galán, Mary Paz Mata, Giselle Audirac, Cathy Abitol, Emmanuel Alcala"
Le journal d'une femme de chambre,Luis Buñuel,"Jeanne Moreau, Georges Géret, Michel Piccoli, Daniel Ivernel, Françoise Lugagne, Muni, Jean Ozenne, Joëlle Bernard, Françoise Bertin, Aline Bertrand, Pierre Collet, Michel Dacquin, Madeleine Damien, Marc Eyraud, Jean Franval, Gilberte Géniat, Gabriel Gobin, Bernard Musson"
Der Krieger und die Kaiserin,Tom Tykwer,"Franka Potente, Benno Fürmann, Joachim Król, Lars Rudolph, Melchior Derouet, Ludger Pistor, Christa Fast, Susanne Bredehöft, Gottfried Breitfuss, Steffen Scheumann, Rolf Dennemann, Ali Nejat-Nouei, Sybille J. Schedwill, Peter Ender, Friederike Frerichs, Stefanie Mühlhan, Irma Schmitt, Max Urlacher"
The Informer,John Ford,"Victor McLaglen, Heather Angel, Preston Foster, Margot Grahame, Wallace Ford, Una O'Connor, J.M. Kerrigan, Joe Sawyer, Neil Fitzgerald, Donald Meek, D'Arcy Corrigan, Leo McCabe, Steve Pendleton, Francis Ford, May Boley, Grizelda Hervey, Denis O'Dea, Frank Baker"
Divines,Houda Benyamina,"Oulaya Amamra, Déborah Lukumuena, Kévin Mischel, Jisca Kalvanda, Yasin Houicha, Majdouline Idrissi, Bass Dhem, Mounir Margoum, Farid Larbi, Maryama Soumare, Wilfried Romoli, Tania Dessources, Mounir Amamra, Samir Zbrouki, Mohamed Ourdache, Garba Tounkara, Hana Savané, Charif Ounnoughene"
Shall We Dance,Mark Sandrich,"Fred Astaire, Ginger Rogers, Edward Everett Horton, Eric Blore, Jerome Cowan, Ketti Gallian, William Brisbane, Ann Shoemaker, Harriet Hoctor, Norman Ainsley, Ben Alexander, Sherwood Bailey, Matthew Boulton, Harry Bowen, Sidney Bracey, William Burress, Charles Coleman, Monte Collins"
The River,Jean Renoir,"Patricia Walters, Nora Swinburne, Esmond Knight, Arthur Shields, Suprova Mukerjee, Thomas E. Breen, Radha, Adrienne Corri, June Tripp, Nimai Barik, Richard R. Foster, Jane Harris, Jennifer Harris, Trilak Jetley, Bhogwan Singh, Penelope Wilkinson, Cecilia Wood"
Kaybedenler Kulübü,Tolga Örnek,"Nejat Isler, Yigit Özsener, Ahu Türkpençe, Idil Firat, Riza Kocaoglu, Serra Yilmaz, Cengiz Bozkurt, Baris Bagci, Safak Baskaya, Erdal Küçükkömürcü, Sirin Kilavuz, Giray Altinok, Günes Zavrak, Askin Ceylan, Oya Unustasi, Gonca Vuslateri, Açelya Özcan, Onur Ünsal"
Takva,Özer Kiziltan,"Erkan Can, Meray Ülgen, Güven Kiraç, Öznur Kula, Erman Saban, Settar Tanriögen, Engin Günaydin, Murat Cemcir, Müfit Aytekin, Feridun Koç, Hakan Gürsoytrak, Salaetin Bilal"
The Child,"Jean-Pierre Dardenne, Luc Dardenne","Jérémie Renier, Déborah François, Jérémie Segard, Fabrizio Rongione, Olivier Gourmet, Anne Gerard, Bernard Marbaix, Jean-Claude Boniverd, Frédéric Bodson, Marie-Rose Roland, Leon Michaux, Delphine Tomson, Stéphane Marsin, Samuel De Ryck, François Olivier, Hicham Tiberkanine, Hachemi Haddad, Stéphane Bissot"
The Hunting Ground,Kirby Dick,"Andrea Pino, Annie Clark, Claire Potter, Melinda Manning, Kimberly Theidon, Kami Winningham, Mrs. Willingham, Caroline Heldman, David Lisak, Leslie Strohm, Danielle Dirks, Diane Rosenfeld, Pat Cottrell, Rachel Hudak, Carol Ann Mooney, Tom Seeberg, Lizzy Seeberg, Sofie Karasek"
De Palma,"Noah Baumbach, Jake Paltrow","Brian De Palma, Mark Hamill, Amy Irving, Kurt Russell, Sissy Spacek, Steven Spielberg, Angela Bettis, Jill Clayburgh, Clarence Clemons, Drake, William Finley, Vincent Gardenia, Don Harvey, Annette Haven, Gale Anne Hurd, Jay-Z, Holly Johnson, Alan King"
Dorogie tovarishchi,Andrey Konchalovskiy,"Yuliya Vysotskaya, Vladislav Komarov, Andrey Gusev, Yuliya Burova, Sergei Erlish, Alexander Maskelyne, Aleksey Davydov, Yegor Gordienko, Yuri Grishin, Olga Guseva, Roman Kalkaev, Ksenia Komarova, Dmitriy Koshelev, Artyom Krysin, Katherine Makarova, Bohdan Maslak, Pjotr Olev, Anatoly Petrunin"
Doragon Bôru Zetto Ryû-Ken Bakuhatsu!! Gokû ga Yaraneba Dare ga Yaru,Mitsuo Hashimoto,"Masako Nozawa, Takeshi Kusao, Mayumi Tanaka, Hiromi Tsuru, Masaharu Satô, Yûko Minaguchi, Ryô Horikawa, Hiro Yûki, Juji Matsuda, Nobuhiko Kazama, Yasuhiko Kawazu, Ichirô Nagai, Makiko Ômoto, Yoshiyuki Kôno, Shin Aomori, Laura Bailey, Kara Edwards, Tiffany Vollmer"
Politiki kouzina,Tassos Boulmetis,"Georges Corraface, Ieroklis Michaelidis, Renia Louizidou, Tamer Karadagli, Basak Köklükaya, Tassos Bandis, Stelios Mainas, Odysseas Papaspiliopoulos, Markos Osse, Thodoros Exarhos, Athinodoros Prousalis, Kakia Panagiotou, Dina Mihailidou, Themis Panou, Gözde Akyildiz, Nikos Alatzas, Anthi Andreopoulou, Giorgos Antoniadis"
Baghban,Ravi Chopra,"Amitabh Bachchan, Hema Malini, Salman Khan, Mahima Chaudhry, Aman Verma, Samir Soni, Sahil Chaddha, Nasir Khan, Suman Ranganath, Divya Dutta, Arzoo Govitrikar, Rimi Sen, Yash Gawli, Paresh Rawal, Lillete Dubey, Sharat Saxena, Sanjeeda Sheikh, Govardhan Asrani"
In My Father's Den,Brad McGann,"Matthew Macfadyen, Miranda Otto, Emily Barclay, Colin Moy, Jimmy Keen, Jodie Rimmer, Toby Alexander, Vicky Haughton, Nicholas Hayward, Liam Herbert, Vanessa Riddell, Asher Emanuel, Matthew Chamberlain, Peter Hishon, Mabel Wharekawa, Saengtip Kirk, Daniel Lucas, Antony Starr"
Trigun: Badlands Rumble,Satoshi Nishimura,"Masaya Onosaka, Hiromi Tsuru, Satsuki Yukino, Show Hayami, Bin Shimada, Maaya Sakamoto, Tsutomu Isobe, Fumihiko Tachiki, Kikuko Inoue, Nobuo Tobita, Taiten Kusunoki, Charles Baker, Robert Bell, Christopher Bevins, Ed Blaylock, Johnny Yong Bosch, Anthony Bowling, Duncan Brannan"
A Town Called Panic,"Stéphane Aubier, Vincent Patar","Stéphane Aubier, Jeanne Balibar, Nicolas Buysse, François De Brigode, Véronique Dumont, Bruce Ellison, Christine Grulois, Frédéric Jannin, Bouli Lanners, Christelle Mahy, Eric Muller, François Neycken, Vincent Patar, Pipou, Franco Piscopo, Benoît Poelvoorde, David Ricci, Ben Tesseur"
Waiting for 'Superman',Davis Guggenheim,"Charles Adams, Jonathan Alter, Robert Balfanz, Harriet Ball, Steve Barr, Celeste Bell, The Black & McGee Family, Geoffrey Canada, James Carter III, Todd Dickson, The Esparza Family, Mike Feinberg, Adrian M. Fenty, Howard Fuller, The Garcia Regalado Family, Lester Garcia, The Guy Family, Eric Hanushek"
"Electric Boogaloo: The Wild, Untold Story of Cannon Films",Mark Hartley,"Sam Firstenberg, David Paulsen, Luigi Cozzi, Menahem Golan, Alain Jakubowicz, Itzik Kol, Michael Hartman, Quentin Falk, Boaz Davidson, William Stout, David Womark, Sybil Danning, Roni Ya'ackov, Yftach Katzur, Dan Wolman, Christopher C. Dewey, John G. Avildsen, Martine Beswick"
Kizzu ritân,Takeshi Kitano,"Ken Kaneko, Masanobu Andô, Leo Morimoto, Hatsuo Yamaya, Michisuke Kashiwaya, Yûko Daike, Susumu Terajima, Moro Morooka, Peking Genji, Atsuki Ueda, Kôtarô Yoshida, Takekazu Shigehisa, Kyôsuke Yabe, Yoshitaka Ôtsuka, Kazuki Oh, Makoto Ashikawa, Kanji Tsuda, Sei Hiraizumi"
De fem benspænd,"Jørgen Leth, Lars von Trier","Claus Nissen, Majken Algren Nielsen, Daniel Hernandez Rodriguez, Jacqueline Arenal, Vivian Rosa, Jørgen Leth, Patrick Bauchau, Alexandra Vandernoot, Marie Dejaer, Pascal Perez, Meschell Perez, Bent Christensen, Anders Hove, Charlotte Sieling, Jan Nowicki, Stina Ekblad, Lars von Trier, Bob Sabiston"
Mibu gishi den,Yôjirô Takita,"Kiichi Nakai, Kôichi Satô, Yui Natsukawa, Takehiro Murata, Miki Nakatani, Yûji Miyake, Masayoshi Haneda, Yoshinori Hiruma, Keisuke Horibe, Atsushi Itô, Hideaki Itô, Ryô Kase, Momo Nakayama, Eugene Nomura, Ayumu Saitô, Masato Sakai, Sansei Shiomi, Kôji Tsukamoto"
The Dark Horse,James Napier Robertson,"Cliff Curtis, James Rolleston, Kirk Torrance, James Napier Robertson, Miriama McDowell, Barry Te Hira, Xavier Horan, Wayne Hapi, Lyel Timu, Te Ahorangi Retimana-Martin, Calae Hignett-Morgan, Te Rua Rehu-Martin, Niwa Whatuira, Lionel Wellington, Wesley Broadfoot, Tuhoe Isaac, Sia Trokenheim, Andrew Grainger"
Dah,Abbas Kiarostami,"Mania Akbari, Amina Maher, Kamran Adl, Roya Akbari, Roya Arabshahi, Amene Moradi, Mandana Sharbaf, Katayoun Taleizadeh"
Twin Sisters,Ben Sombogaart,"Ellen Vogel, Gudrun Okras, Thekla Reuten, Nadja Uhl, Julia Koopmans, Sina Richardt, Betty Schuurman, Jaap Spijkers, Roman Knizka, Margarita Broich, Ingo Naujoks, Barbara Auer, Jeroen Spitzenberger, Hans Somers, Hans Trentelman, Marieke van Leeuwen, Katrin Pollitt, Jean-Paul Maes"
That Sugar Film,Damon Gameau,"Damon Gameau, Hugh Jackman, Milla Bakaitis, Richard Davies, Skylar Delphinus, Healthy Emmie, Christina Evans, Stephen Fry, Zoë Gameau, Lisa Gloufchis, Benjamin Hancock, Zelia Kitoko, Isabel Lucas, Jessica Marais, Brenton Thwaites"
Dayereh,Jafar Panahi,"Maryiam Palvin Almani, Nargess Mamizadeh, Mojgan Faramarzi, Elham Saboktakin, Monir Arab, Maedeh Tahmasebi, Maryam Shayegan, Khadijeh Moradi, Negar Ghadyani, Solmaz Panahi, Fereshteh Sadre Orafaiy, Fatemeh Naghavi, Ataollah Moghadas, Abbas Alizadeh"
Once Upon a Time in Mumbaai,Milan Luthria,"Ajay Devgn, Emraan Hashmi, Kangana Ranaut, Prachi Desai, Randeep Hooda, Naved Aslam, Sanjeev Wilson, Allauddin Khan, Rajeev Yadav, Sushil Pandey, Mehul Bhojak, Anjumm Shharma, Dheerendra Dwivedi, Sumit Kaul, Ravi Khanvilkar, Chandrakant Taneja, Asif Hussain, Hemant Choudhary"
An Honest Liar,"Tyler Measom, Justin Weinstein","James Randi, Penn Jillette, Teller, Ray Hyman, Richard Wiseman, Michael Shermer, Adam Savage, José Alvarez, Banachek, Jamy Ian Swiss, Alice Cooper, Alexander Jason, Bill Nye, Michael Edwards, Uri Geller, Peter R. Phillips, Peter Popoff, Mark Shafer"
Virgin Mountain,Dagur Kári,"Gunnar Jónsson, Ilmur Kristjánsdóttir, Sigurjón Kjartansson, Margrét Helga Jóhannsdóttir, Franziska Una Dagsdóttir, Arnar Jónsson, Thorir Sæmundsson, Þorsteinn Gunnarsson, Friðrik Friðriksson, Walter Grímsson, Gísli Jökull Gíslason, Halldór Laxness Halldórsson, Helga Kristín Helgadóttir, Ingunn Jensdóttir, Sigurður Karlsson, Zlatko Krickic, Þórunn Magnea Magnúsdóttir, Ari Matthíasson"
Das schweigende Klassenzimmer,Lars Kraume,"Leonard Scheicher, Tom Gramenz, Lena Klenke, Isaiah Michalski, Jonas Dassler, Nora Labisch, Nele Labisch, Ronald Zehrfeld, Carina Wiese, Florian Lukas, Jördis Triebel, Daniel Krauss, Michael Gwisdek, Burghart Klaußner, Max Hopp, Judith Engel, Jakob Kraume, Karl Kraume"
East/West,Régis Wargnier,"Oleg Menshikov, Sandrine Bonnaire, Catherine Deneuve, Sergey Bodrov, Ruben Tapiero, Erwan Baynaud, Grigori Manoukov, Tatyana Dogileva, Bogdan Stupka, Meglena Karalambova, Atanass Atanassov, Tania Massalitinova, Valentin Ganev, Nikolai Binev, René Féret, Daniel Martin, Hubert Saint-Macary, Jauris Casanova"
Attack,Robert Aldrich,"Jack Palance, Lee Marvin, Eddie Albert, Robert Strauss, Richard Jaeckel, Buddy Ebsen, Jon Shepodd, Peter van Eyck, Jim Goodwin, Steven Geray, Jud Taylor, Louis Mercier, Henry Rowland, Mike Ragan, Ron McNeil, Strother Martin, Leonard Bremen, William Smithers"
Peepli [Live],"Anusha Rizvi, Mahmood Farooqui","Onkar Das Manikpuri, Raghubir Yadav, Shalini Vatsa, Farrukh Jaffar, Malaika Shenoy, Vishal Om Prakash, Nawazuddin Siddiqui, Sitaram Panchal, Naseeruddin Shah, Aamir Bashir, Pravin Singh Sisodia, Masood Akhtar, Maxima Basu, Sakshi Bhatia, Avijit Dutt, Abhishek Gautam, Abhishek Gautam, Vinod Goswami"
Séraphine,Martin Provost,"Yolande Moreau, Ulrich Tukur, Anne Bennent, Geneviève Mnich, Adélaïde Leroux, Nico Rogner, Françoise Lebrun, Hélène Hardouin, Serge Larivière, Léna Breban, Sandrine Bodenes, Muriel Riou, Dominique Pozzetto, Josette Ménard, Xavier Pottier, Jean-Pascal Abribat, Anne Benoît, Corentin Lobet"
Socha Na Tha,Imtiaz Ali,"Abhay Deol, Ayesha Takia, Ayesha Jhulka, Apoorva Jha, Rati Agnihotri, Sandhya Mridul, Sohrab Ardeshir, Manish Chaudhari, Lushin Dubey, Kamlesh Gill, Anamika Goel, Vijay Maurya, Suresh Oberoi, Salim Shah, Mahru Sheikh, Shakti Singh, Veer Mahendra Teotia, Raj Zutshi"
Chachi 420,Kamal Haasan,"Kamal Haasan, Amrish Puri, Om Puri, Tabu, Johnny Walker, Paresh Rawal, Nassar, Ayesha Jhulka, Atul Agnihotri, Ritu Shivpuri, Raj Zutshi, Raghuram, Abaswaram Ramjhi, Madhan Bob, R.S. Shivaji, Bobby Bedi, Laxmi Ratan, Chandramohan"
Fidaa,Sekhar Kammula,"Sai Pallavi, Varun Tej, Sai Chand, Saranya Pradeep, Raja Chembolu, Satyam Rajesh, Dhaassyam Geetha Bhascker, Aryan Talla, Manisha Erabathini, Gayatri Gupta, Harshvardhan Rane, Katarina Richter, Sarah Uriarte Berry, Patrick Lescarbeau, Nicole Onyeje, Sumathi Swaminathan"
Monkey Business,Norman Z. McLeod,"Groucho Marx, Harpo Marx, The Marx Brothers, Chico Marx, Zeppo Marx, Rockliffe Fellowes, Harry Woods, Thelma Todd, Ruth Hall, Tom Kennedy, Eddie Baker, Bobby Barber, Billy Barty, Billy Bletcher, Eddie Borden, James Bradbury Jr., Maxine Castle, Davison Clark"
Bad Land,Aku Louhimies,"Jasper Pääkkönen, Mikko Leppilampi, Pamela Tola, Petteri Summanen, Matleena Kuusniemi, Mikko Kouki, Sulevi Peltola, Pertti Sveholm, Samuli Edelmann, Saara Pakkasvirta, Pekka Valkeejärvi, Susanna Mikkonen, Niklas Hellakoski, Emilia Suoperä, Jonathan Kajander, Paavo Westerberg, Zoja Sazonov, Eija Koskimaa"
Dick Johnson Is Dead,Kirsten Johnson,"Michael Hilow, Ana Hoffman, Dick Johnson, Kirsten Johnson, Chad Knorr, Kevin Loreque, Vasthy Mompoint, Mary Page Nance, Ira Sachs, Nicole Tio"
"Life, Animated",Roger Ross Williams,"Owen Suskind, Cornelia Suskind, Ron Suskind, Walter Suskind, Alan Rosenblatt, Emily Jathas, Michelle Garcia Winner, Jonathan Freeman, Gilbert Gottfried, Jeffrey Ortiz"
Gycklarnas afton,Ingmar Bergman,"Åke Grönberg, Harriet Andersson, Hasse Ekman, Anders Ek, Gudrun Brost, Annika Tretow, Erik Strandmark, Gunnar Björnstrand, Curt Löwgren, Kiki, Lissi Alandh, Julie Bernby, John W. Björling, Naemi Briese, Michael Fant, Karl-Axel Forssberg, Åke Fridell, Erna Groth"
All This and Heaven Too,Anatole Litvak,"Bette Davis, Charles Boyer, Jeffrey Lynn, Barbara O'Neil, Virginia Weidler, Helen Westley, Walter Hampden, Henry Daniell, Harry Davenport, George Coulouris, Montagu Love, Janet Beecher, June Lockhart, Ann E. Todd, Richard Nichols, Fritz Leiber, Ian Keith, Sibyl Harris"
Tabu: A Story of the South Seas,F.W. Murnau,"Anne Chevalier, Matahi, Hitu, Bill Bambridge, Ah Fong, Jules, Mehao"
Katok i skripka,Andrei Tarkovsky,"Igor Fomchenko, Vladimir Zamanskiy, Natalya Arkhangelskaya, Marina Adzhubei, Vyacheslav Borisov, Yuri Brusser, Zhenya Fedchenko, Marina Figner, Aleksandr Ilin, Gena Klyachkovsky, Igor Korovikov, Kolya Kozyryev, Antonina Maksimova, Tatyana Prokhorova, Lyudmila Semyonova, Aleksandr Vitoslavsky, Galina Zhdanova"
Bobby Fischer Against the World,Liz Garbus,"Bobby Fischer, David Edmonds, Anthony Saidy, Susan Polgar, Henry Kissinger, David Shenk, Gudmundur Thorarinsson, Boris Spassky, Mikhail Tal, Garry Kasparov, Mikhail Botvinnik, Tigran Petrosian, Russell Targ, Larry Evans, Shelby Lyman, Sam Sloan, Malcolm Gladwell, Fernand Gobet"
Deiji,Wai Keung Lau,"Jun Ji-hyun, Jung Woo-sung, Lee Sung-jae, Sara Bernardo Aires, David Da-Wei Chiang, Chun Ho-jin, Dion Lam, Niels Megens, Ron Schuitema, Man-Lung Tang, Maurice Nathan Weert"
Guzaarish,Sanjay Leela Bhansali,"Hrithik Roshan, Aishwarya Rai Bachchan, Shernaz Patel, Aditya Roy Kapoor, Nafisa Ali, Monikangana Dutta, Suhel Seth, Rajit Kapoor, Ash Chandler, Vijay Crishna, Makrand Deshpande, Olivier Lafont, Jineet Rath, Parveen Rabbani, Farida Mistry, Prahlad Kakar, Mahabanoo Mody-Kotwal, Chandraprakash"
Aritmiya,Boris Khlebnikov,"Aleksandr Yatsenko, Irina Gorbacheva, Nikolay Shrayber, Lyudmila Motornaya, Sergey Nasedkin, Aleksandr Samoylenko, Albina Tikhanova, Valentina Mazunina, Vladimir Kapustin, Evgeniy Sytyy, Nadezhda Markina, Anna Kotova, Ekaterina Stulova, Konstantin Zheldin, Evgeniy Muravich, Sergey Udovik, Elena Drobysheva, Nikolay Kovbas"
The Redeem Team,Jon Weinbach,"LeBron James, Dwyane Wade, Carmelo Anthony, Carlos Boozer, Chris Paul, Chris Bosh, Jason Kidd, Dwight Howard, Jerry Colangelo, Mike Krzyzewski, Pau Gasol, Doug Collins, J.A. Adande, Bill Plaschke, Sam Smith, Chris Collins, Mike D'Antoni, Ray Allen"
Jaane Tu... Ya Jaane Na,Abbas Tyrewala,"Imran Khan, Genelia Deshmukh, Manjari Fadnnis, Ayaz Khan, Karan Makhija, Sugandha Garg, Nirav Mehta, Alishka Varde, Renuka Kunzru, Prateik Patil Babbar, Anuradha Patel, Jayant Kripalani, Ratna Pathak Shah, Padam Bhola, Shakun Batra, Naseeruddin Shah, Jerrit John, Sohail Khan"
Hokkabaz,"Ali Taner Baltaci, Cem Yilmaz","Cem Yilmaz, Mazhar Alanson, Özlem Tekin, Tuna Orhan, Tuncer Salman, Kemal Inci, Gürgen Öz, Caner Alkaya, Ayçe Abana, Bahtiyar Engin, Ozan Uygun, Onuryay Evrentan, Suat Önen, Selim Erdogan, Gamze Demirbilek, Sennur Kaya, Ali Saribas, Orhan Eskin"
Any Day Now,Travis Fine,"Alan Cumming, Garret Dillahunt, Isaac Leyva, Frances Fisher, Gregg Henry, Jamie Anne Allman, Chris Mulkey, Don Franklin, Kelli Williams, Alan Rachins, Mindy Sterling, Doug Spearman, Randy Roberts, Miracle Laurie, Michael Nouri, Jeffrey Pierce, Louis Lombardi, Clyde Kusatsu"
Camino,Javier Fesser,"Nerea Camacho, Carme Elias, Mariano Venancio, Manuela Vellés, Lola Casamayor, Ana Gracia, Pepe Ocio, Jordi Dauder, Emilio Gavira, Lucas Manzano, Claudia Otero, Miriam Raya, Juanma Lara, Alfonso Torregrosa, Fernando Carrera, Jan Cornet, Angela Boj, Paloma Paso Jardiel"
Yahsi Bati,Ömer Faruk Sorak,"Cem Yilmaz, Ozan Güven, Demet Evgar, Zafer Algöz, Özkan Ugur, Ferdi Sancar, Dilek Çelebi, Istar Gökseven, Mehmet Polat, Süleyman Turan, Yilmaz Köksal, Cansu Dere, Demet Tuncer, Arslan Burak Bozdag, Bünyamin Durgut, Özgür Gezgin, Cevher Hikmet Güzey, Graham Hoadly"
OK Kanmani,Mani Ratnam,"Dulquer Salmaan, Nithya Menen, Prakash Raj, Leela Samson, Vinodhini Vaidynathan, Ramya Subramanian, Siva Ananth, John Devasahayam, Prabhu Lakshman, Baby Rakshana, Kaniha, Balkrishna Doshi, Padam Bhola, Arav, Ashwin Kumar Lakshmikanthan, Melvin M. Ranjan"
Apaharan,Prakash Jha,"Ajay Devgn, Nana Patekar, Bipasha Basu, Ayub Khan, Mohan Agashe, Mukesh Tiwari, Yashpal Sharma, Anup Soni, Chetan Pandit, Akhilendra Mishra, Dayashankar Pandey, Murli Sharma, Ehsan Khan, Mukul Nag, Radhakrishna Dutta, Brij Gopal, Jahangir Khan, Ashwini Kalsekar"
The Trial of Joan of Arc,Robert Bresson,"Florence Delay, Jean-Claude Fourneau, Roger Honorat, Marc Jacquier, Jean Gillibert, Michel Herubel, André Régnier, Arthur Le Bau, Marcel Darbaud, Philippe Dreux, Paul-Robert Mimet, Gérard Zingg, Nicolas Bang, Alain Blaisy, Henri Collin-Delavaud, Jean Collombier, Guy-Louis Duboucheron, Pierre Duboucheron"
The Road to Guantanamo,"Mat Whitecross, Michael Winterbottom","Riz Ahmed, Farhad Harun, Waqar Siddiqui, Arfan Usman, Shahid Iqbal, Sher Khan, Jason Salkey, Jacob Gaffney, Mark Holden, Duane Henry, William Meredith, Payman Bina, Adam James, James Buller, Mark Sproston, Nancy Crane, Ewan Bailey, Martin McDougall"
Un air de famille,Cédric Klapisch,"Jean-Pierre Bacri, Jean-Pierre Darroussin, Catherine Frot, Agnès Jaoui, Claire Maurier, Wladimir Yordanoff, Alain Guillo, Sophie Simon, Cédric Klapisch, Antoine Chappey, Chantal Gouard, Viviane Ordas, Aurélie Remacle, Nicolas Taeb, Ludovic Taeb, Romain Legrand, Hugo Charpiot, Zinedine Soualem"
102 Not Out,Umesh Shukla,"Amitabh Bachchan, Vijay Raaz, Rishi Kapoor, Ashok Pathak, Jimit Trivedi, Dharmendra Gohil, Rakhi Mansha, Sunil Vishrani, Bianca King, Suvrangshu Sarkar, Avadhesh Bhagat, Vooqo, Suvrangshu Sarcar, Simar Saini, Nileash Pandya, Tyrone Aviet"
La vie rêvée des anges,Erick Zonca,"Élodie Bouchez, Natacha Régnier, Grégoire Colin, Patrick Mercado, Jo Prestia, Francine Massenhave, Zivko Niklevski, Murielle Colvez, Lyazid Ouelhadj, Frédérique Hazard, Jean-Michel Lemayeux, Louise Motte, Rosa Maria, Corinne Masiero, Xavier Denamur, Juliette Richevaux, Stéphanie Delerue, Mireille Bidon"
"Ruben Brandt, a gyujto",Milorad Krstic,"Iván Kamarás, Csaba Márton, Gabriella Hámori, Matt Devere, Henry Grant, Christian Nielson Buckholdt, Kati Dombi, Paul Bellantoni, Luca Bercovici, Butch Engle, Irén Bordán, Scott Hoke, Ivan Hegedus, Peter Linka, Virginia Proud, Dave Fennoy, Geoffrey Thomas, Liam Aaron Grant"
Nanpakal Nerathu Mayakkam,Lijo Jose Pellissery,"Mammootty, Ashokan, Pramod Shetty, Ashwanth Ashokkumar, Manoranjan, Chethan Jayalal, Ramya Pandian, Rajesh Sharma, Thennavan, Kainakary Thankaraj"
